address_id,district,country,phone,address,postal_code,city,country_id,city_id,address2
1,Alberta,Canada,,47 MySakila Drive,,Lethbridge,20,300,
2,QLD,Australia,,28 MySQL Boulevard,,Woodridge,8,576,
3,Alberta,Canada,14033335568.0,23 Workhaven Lane,,Lethbridge,20,300,
4,QLD,Australia,6172235589.0,1411 Lillydale Drive,,Woodridge,8,576,
5,Nagasaki,Japan,28303384290.0,1913 Hanoi Way,35200.0,Sasebo,50,463,
6,California,United States,838635286649.0,1121 Loja Avenue,17886.0,San Bernardino,103,449,
7,Attika,Greece,448477190408.0,692 Joliet Street,83579.0,Athenai,39,38,
8,Mandalay,Myanmar,705814003527.0,1566 Inegöl Manor,53561.0,Myingyan,64,349,
9,Nantou,Taiwan,10655648674.0,53 Idfu Parkway,42399.0,Nantou,92,361,
10,Texas,United States,860452626434.0,1795 Santiago de Compostela Way,18743.0,Laredo,103,295,
11,Central Serbia,Yugoslavia,716571220373.0,900 Santiago de Compostela Parkway,93896.0,Kragujevac,108,280,
12,Hamilton,New Zealand,657282285970.0,478 Joliet Way,77948.0,Hamilton,68,200,
13,Masqat,Oman,380657522649.0,613 Korolev Drive,45844.0,Masqat,71,329,
14,Esfahan,Iran,648856936185.0,1531 Salé Drive,53628.0,Esfahan,46,162,
15,Kanagawa,Japan,635297277345.0,1542 Tarlac Parkway,1027.0,Sagamihara,50,440,
16,Haryana,India,465887807014.0,808 Bhopal Manor,10672.0,Yamuna Nagar,44,582,
17,Osmaniye,Turkey,695479687538.0,270 Amroha Parkway,29610.0,Osmaniye,97,384,
18,California,United States,517338314235.0,770 Bydgoszcz Avenue,16266.0,Citrus Heights,103,120,
19,Madhya Pradesh,India,990911107354.0,419 Iligan Lane,72878.0,Bhopal,44,76,
20,England,United Kingdom,949312333307.0,360 Toulouse Parkway,54308.0,Southend-on-Sea,102,495,
21,Kalmykia,Russian Federation,407752414682.0,270 Toulon Boulevard,81766.0,Elista,80,156,
22,Kaduna,Nigeria,747791594069.0,320 Brest Avenue,43331.0,Kaduna,69,252,
23,Northern Cape,South Africa,272572357893.0,1417 Lancaster Avenue,72192.0,Kimberley,85,267,
24,Nothwest Border Prov,Pakistan,144453869132.0,1688 Okara Way,21954.0,Mardan,72,327,
25,Dhaka,Bangladesh,892775750063.0,262 A Coruña (La Coruña) Parkway,34418.0,Tangail,12,525,
26,Rabat-Sal-Zammour-Z,Morocco,161968374323.0,28 Charlotte Amalie Street,37551.0,Salé,62,443,
27,Liepaja,Latvia,902731229323.0,1780 Hino Boulevard,7716.0,Liepaja,54,303,
28,Córdoba,Argentina,934730187245.0,96 Tafuna Way,99865.0,Córdoba,6,128,
29,Sind,Pakistan,196495945706.0,934 San Felipe de Puerto Plata Street,99780.0,Shikarpur,72,472,
30,,Holy See (Vatican City State),998009777982.0,18 Duisburg Boulevard,58327.0,Città del Vaticano,41,121,
31,Southern Mindanao,Philippines,665356572025.0,217 Botshabelo Place,49521.0,Davao,75,138,
32,Bihar,India,678220867005.0,1425 Shikarpur Manor,65599.0,Munger (Monghyr),44,346,
33,Yamaguchi,Japan,18461860151.0,786 Aurora Avenue,65750.0,Shimonoseki,50,474,
34,Taipei,Taiwan,525255540978.0,1668 Anápolis Street,50199.0,Lungtan,92,316,
35,West Bengali,India,745994947458.0,33 Gorontalo Way,30348.0,Kamarhati,44,257,
36,Uttar Pradesh,India,627705991774.0,176 Mandaluyong Place,65213.0,Jhansi,44,239,
37,Piemonte,Italy,911872220378.0,127 Purnea (Purnia) Manor,79388.0,Alessandria,49,17,
38,Okayama,Japan,708403338270.0,61 Tama Street,94065.0,Kurashiki,50,284,
39,Midi-Pyrnes,France,440512153169.0,391 Callao Drive,34021.0,Toulouse,34,544,
40,Markazi,Iran,481183273622.0,334 Munger (Monghyr) Lane,38145.0,Arak,46,31,
41,Henan,China,912257250465.0,1440 Fukuyama Loop,47929.0,Nanyang,23,362,
42,Chisinau,Moldova,489783829737.0,269 Cam Ranh Parkway,34689.0,Chisinau,61,115,
43,Esprito Santo,Brazil,378318851631.0,306 Antofagasta Place,3989.0,Vila Velha,15,569,
44,Oriental,Morocco,680768868518.0,671 Graz Street,94399.0,Nador,62,353,
45,Yerevan,Armenia,42384721397.0,42 Brindisi Place,16744.0,Yerevan,7,586,
46,Nonthaburi,Thailand,471675840679.0,1632 Bislig Avenue,61117.0,Pak Kret,94,394,
47,Tahiti,French Polynesia,539758313890.0,1447 Imus Way,48942.0,Faaa,36,167,
48,Lipetsk,Russian Federation,177727722820.0,1998 Halifax Drive,76022.0,Lipetsk,80,308,
49,Antofagasta,Chile,675292816413.0,1718 Valencia Street,37359.0,Antofagasta,22,27,
50,Moscow (City),Russian Federation,262076994845.0,46 Pjatigorsk Lane,23616.0,Moscow,80,343,
51,Cear,Brazil,69493378813.0,686 Garland Manor,52535.0,Juazeiro do Norte,15,247,
52,Tatarstan,Russian Federation,705800322606.0,909 Garland Manor,69367.0,Niznekamsk,80,367,
53,Mekka,Saudi Arabia,876295323994.0,725 Isesaki Place,74428.0,Jedda,82,237,
54,Khartum,Sudan,307703950263.0,115 Hidalgo Parkway,80168.0,Omdurman,89,379,
55,California,United States,171822533480.0,1135 Izumisano Parkway,48150.0,Fontana,103,171,
56,Galicia,Spain,680428310138.0,939 Probolinggo Loop,4166.0,A Coruña (La Coruña),87,1,
57,Chiba,Japan,697760867968.0,17 Kabul Boulevard,38594.0,Nagareyama,50,355,
58,Yamaguchi,Japan,920811325222.0,1964 Allappuzha (Alleppey) Street,48980.0,Iwakuni,50,227,
59,Moskova,Russian Federation,499352017190.0,1697 Kowloon and New Kowloon Loop,57807.0,Balašiha,80,49,
60,Tahiti,French Polynesia,347487831378.0,1668 Saint Louis Place,39072.0,Papeete,36,397,
61,Vaduz,Liechtenstein,889318963672.0,943 Tokat Street,45428.0,Vaduz,55,560,
62,Sarawak,Malaysia,212869228936.0,1114 Liepaja Street,69226.0,Kuching,59,282,
63,Karnataka,India,800024380485.0,1213 Ranchi Parkway,94352.0,Mysore,44,350,
64,Rajasthan,India,250767749542.0,81 Hodeida Way,55561.0,Jaipur,44,231,
65,Basel-Stadt,Switzerland,1395251317.0,915 Ponce Place,83980.0,Basel,91,56,
66,Missouri,United States,914090181665.0,1717 Guadalajara Lane,85505.0,Saint Louis,103,441,
67,Nebraska,United States,491001136577.0,1214 Hanoi Way,67055.0,Lincoln,103,306,
68,Sichuan,China,333489324603.0,1966 Amroha Avenue,70385.0,Daxian,23,139,
69,Cayenne,French Guiana,409983924481.0,698 Otsu Street,71110.0,Cayenne,35,105,
70,Skne ln,Sweden,663449333709.0,1150 Kimchon Manor,96109.0,Malmö,90,321,
71,Hunan,China,947233365992.0,1586 Guarujá Place,5135.0,Xi´angtan,23,579,
72,Madhya Pradesh,India,990214419142.0,57 Arlington Manor,48960.0,Shivapuri,44,475,
73,Béchar,Algeria,107137400143.0,1031 Daugavpils Parkway,59025.0,Béchar,2,63,
