gncd,ddrssln1,nmbrcrs,wnrrntflg,gndr,lstnm,ncm,nmbrchldrn,mrtlstts,g,crdtrtng,mplr,nmbrcrdtcrds,ntwrth
PEL0,21847 olympia street,,O,f,PELLAND,368776.0,3.0,W,20.0,760.0,Brink's,,1058868.0
LED1,245 congress court,5.0,U,F,LEDUC,177967.0,1.0,U,3.0,555.0,,6.0,1988185.0
lat2,6517 frailing west,2.0,O,,latif,321772.0,1.0,S,,566.0,,6.0,3673128.0
RUD3,11449 blalock park,2.0,O,,RUDDICK,25449.0,1.0,W,77.0,,Air Products & Chemicals,3.0,2005895.0
JAY4,18354 dodd court,0.0,O,f,JAYAMANNE,166567.0,3.0,M,21.0,815.0,Oshkosh,4.0,624736.0
tod5,14117 roxboro street,1.0,R,M,todo,43631.0,4.0,M,77.0,333.0,,10.0,3064615.0
Kan6,24697 FLORENCE WEST,4.0,O,m,Kanno,466230.0,0.0,,23.0,528.0,VeraSun Energy,1.0,3489129.0
Din7,6488 applewood drive,2.0,U,,Dinkel,420243.0,2.0,M,9.0,680.0,IDT,7.0,3430744.0
Thi8,17404 gale court,3.0,O,,Thibodeaux,141862.0,,U,63.0,761.0,Adams Resources & Energy,10.0,1743614.0
May9,15913 alexis street,0.0,O,,Mayo,402011.0,2.0,M,32.0,416.0,MGIC Investment,,216299.0
mah10,18313 5th lane,2.0,O,,mahendra,79928.0,2.0,M,96.0,493.0,Iasis Healthcare,9.0,1528641.0
Siz11,13653 collier avenue,1.0,R,,Sizto,109496.0,0.0,M,46.0,564.0,AMR,0.0,3752907.0
cra12,15306 pike park,1.0,U,,crawley,267901.0,4.0,U,6.0,817.0,Embarq,0.0,582378.0
dac13,1540 crestmere north,3.0,R,m,dacal,487273.0,5.0,U,39.0,653.0,Advanced Micro Devices,8.0,3458824.0
HIV14,10790 bonita crescent,3.0,O,,HIVELY,34013.0,4.0,M,73.0,587.0,Cenveo,2.0,469408.0
Pes15,24679 AIRPORT CRESCENT,0.0,O,,Peschke,473462.0,2.0,S,26.0,472.0,Kelly Services,6.0,1504480.0
CHI16,7627 douglas road,5.0,O,,CHILDERHOSE,499493.0,4.0,M,54.0,817.0,Viacom,4.0,2763009.0
Din17,6106 ashland east,5.0,R,,Dinnin,266928.0,4.0,M,87.0,441.0,Macy's,0.0,2787199.0
