AgencyID,Employer,LastName,CreditRating,Income,AddressLine1,NumberCreditCards,City,NetWorth,OwnOrRentFlag,State,Country,Phone,NumberCars,NumberChildren,MaritalStatus,Age
Iok7501,FM Global,Iokwiqojocjanndatkdzgymym,580.0,94490.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,Baltimore,321776.0,U,MO,United States of America,1-637-119-9996,3.0,,U,7.0
tia7502,MGIC Investment,tiabxgseasiibxakctfzhfwotp,683.0,7037.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,2.0,Kitchener,2292324.0,R,TX,Canada,1-560-405-0048,4.0,4.0,S,48.0
AOI7503,Ross Stores,AOIWIWTIHIXOJ,411.0,419269.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,2.0,Saint John,969707.0,O,CT,,1-261-306-5079,1.0,5.0,M,14.0
PJQ7504,,PJQSPMBUHYQKBOZ,818.0,76681.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,9.0,Berkeley,3899461.0,U,UT,United States of America,1-642-299-6655,4.0,5.0,W,29.0
SDV7505,Alliance One International,SDVLJWXENNGWCQMIW,370.0,209116.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,7.0,Missoula,3749223.0,R,RI,United States of America,,2.0,4.0,U,69.0
Hga7506,Sally Beauty Holdings,Hgakmykzeunwkiaxayulpwyxrcuev,833.0,212203.0,Ajpkrmtlcbdzr,6.0,Salinas,3658531.0,O,DE,,1-388-257-4273,0.0,0.0,U,47.0
Beo7507,Wisconsin Energy,Beotomyndkiqryllkvpavllytov,536.0,42018.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,2.0,San Jose,1738460.0,U,NM,Canada,,5.0,5.0,M,0.0
Qum7508,Carpenter Technology,Qumxrssnd,775.0,90446.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,Cleveland,3307296.0,R,WV,United States of America,1-632-118-1891,0.0,0.0,S,46.0
Hud7509,Liberty Mutual Insurance Group,Hudlpfwjagzbnznyhamjkhbf,765.0,16274.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,3.0,Huntington,1816419.0,R,NH,United States of America,1-853-806-4986,1.0,1.0,M,6.0
jba7510,Black & Decker,jbabemsfwdyeihxq,555.0,22215.0,Ycltsquohmuugxihqyluhkoy,6.0,Paterson,2599250.0,O,WY,Canada,1-220-687-2027,5.0,2.0,M,22.0
dgc7511,Interstate Bakeries,dgcnbxfhc,,210038.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,3.0,Greensboro,490443.0,O,Saskatchewan,United States of America,,5.0,1.0,M,72.0
lql7512,eBay,lqlslgqsvyfxqnzuwbfg,318.0,307402.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,9.0,Concord,3348923.0,O,NE,Canada,1-268-630-3843,4.0,5.0,M,40.0
Wsk7513,Boise,Wskjvrujdwku,613.0,,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,4.0,Colorado Springs,331799.0,R,AR,United States of America,1-915-548-9541,4.0,1.0,D,8.0
Ffs7514,MDU Resources Group,Ffshsiomkzjonhxjhunfsao,786.0,432425.0,,4.0,Mobile,1167013.0,R,IL,,1-536-880-0961,4.0,1.0,U,10.0
Kvv7515,Freescale Semiconductor,Kvvverfkpazpzzkrqniixrhnw,,122041.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,10.0,Thousand Oaks,3960216.0,O,VA,United States of America,1-494-335-6022,0.0,3.0,U,24.0
mpz7516,Superior Energy Services,mpzqnwnrmaozfsstcqtrc,623.0,302205.0,,5.0,Rochester,242246.0,O,ID,United States of America,1-814-158-3550,1.0,4.0,M,18.0
Jhc7517,Monsanto,Jhcbaxyzijphmmvpampdgvgisnab,845.0,367555.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,Garden Grove,1217660.0,O,TX,United States of America,1-420-580-0795,1.0,1.0,S,79.0
dbq7518,Newfield Exploration,dbqcukoddoiwg,645.0,106025.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,7.0,Tampa,1229655.0,U,New Brunswick,United States of America,1-924-305-1666,4.0,5.0,M,36.0
Xch7519,Loews,Xchoxlbkffuvox,495.0,106690.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,1.0,Fullerton,1157831.0,O,Alberta,Canada,1-450-082-2122,2.0,2.0,W,21.0
oir7520,Apache,oirfujtvl,371.0,29373.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,8.0,Washington,,O,PA,Canada,1-573-009-1404,2.0,2.0,M,4.0
Fqb7521,Robert Half International,Fqbovz,462.0,168189.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,1.0,Norfolk,,R,Nova Scotia,United States of America,1-603-897-9894,2.0,3.0,S,72.0
qex7522,Viacom,qextfjyytqwbmdrlykbfnhvqrmota,375.0,264756.0,Dmyivtczopuqajpnjqvvgbhxynvduub,7.0,Sydney,3467922.0,U,RI,United States of America,1-947-161-6502,,,S,1.0
Hpi7523,Robert Half International,Hpiedhvkedqqdxsoedt,516.0,44480.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,10.0,Winnipeg,46859.0,U,OR,Canada,1-586-826-9847,1.0,2.0,S,98.0
Fjd7524,CSX,Fjdafgbcrml,703.0,87207.0,Esuycdxsjfbrqbtluspxsehk,,Wilmington,2937668.0,R,CA,Canada,1-217-243-2668,1.0,5.0,,35.0
Cgt7525,Country Financial Services,Cgtcmbl,734.0,238434.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,7.0,El Monte,2388613.0,O,MO,United States of America,1-857-211-5728,4.0,2.0,W,99.0
Lwx7526,Procter & Gamble,Lwxudfgcqawccntqaucdaeym,469.0,,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,4.0,Sterling Heights,3116283.0,U,Prince Edward Island,United States of America,1-089-966-6281,0.0,2.0,M,49.0
epy7527,Ingles Markets,epyxtfsrijhddstgaxkbgmlayjtk,595.0,391354.0,vnyndcximwxhecv,2.0,Pembroke Pines,2671950.0,O,Quebec,United States of America,,3.0,0.0,S,72.0
