prospect_AgencyID,prospect_NumberCars,prospect_MiddleInitial,prospect_MaritalStatus,prospect_AddressLine1,prospect_Gender,prospect_CreditRating,prospect_Income,prospect_Country,prospect_Age,prospect_PostalCode,prospect_NumberCreditCards,prospect_AddressLine2,prospect_State,prospect_NumberChildren,prospect_Phone,prospect_OwnOrRentFlag,prospect_Employer,prospect_NetWorth
Iok7501,3.0,n,U,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,580.0,94490.0,United States of America,7.0,Guudshirvcu,,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,MO,,1-637-119-9996,U,FM Global,321776.0
tia7502,4.0,,S,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,M,683.0,7037.0,Canada,48.0,wyggjewbe,2.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,TX,4.0,1-560-405-0048,R,MGIC Investment,2292324.0
AOI7503,1.0,u,M,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,,411.0,419269.0,,14.0,YMZRQICUTHT,2.0,Cdrxeolwrrxmwmhgexvcstvzz,CT,5.0,1-261-306-5079,O,Ross Stores,969707.0
PJQ7504,4.0,,W,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,m,818.0,76681.0,United States of America,29.0,Bcjuycmcen,9.0,WKSBVOFGJHQGAEKUYRZHHPH,UT,5.0,1-642-299-6655,U,,3899461.0
SDV7505,2.0,,U,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,,370.0,209116.0,United States of America,69.0,Nujxguyehf,7.0,skxijfqpzshmts,RI,4.0,,R,Alliance One International,3749223.0
Hga7506,0.0,F,U,Ajpkrmtlcbdzr,F,833.0,212203.0,,47.0,Neigswk,6.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,DE,0.0,1-388-257-4273,O,Sally Beauty Holdings,3658531.0
Beo7507,5.0,D,M,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,M,536.0,42018.0,Canada,0.0,WNCEOQPLW,2.0,LJXAXKUJXQBGWBHJJAAM,NM,5.0,,U,Wisconsin Energy,1738460.0
Qum7508,0.0,,S,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,,775.0,90446.0,United States of America,46.0,Cskdwtkf,0.0,Jmlgjkjbqhrudrkqrm,WV,0.0,1-632-118-1891,R,Carpenter Technology,3307296.0
Hud7509,1.0,v,M,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,,765.0,16274.0,United States of America,6.0,tcxswloetdt,3.0,Qqcilgblxyikgr,NH,1.0,1-853-806-4986,R,Liberty Mutual Insurance Group,1816419.0
jba7510,5.0,,M,Ycltsquohmuugxihqyluhkoy,m,555.0,22215.0,Canada,22.0,Fkpemasoukih,6.0,Ahtohqjfzfarn,WY,2.0,1-220-687-2027,O,Black & Decker,2599250.0
dgc7511,5.0,,M,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,m,,210038.0,United States of America,72.0,NCEVKLQEEWTA,3.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,Saskatchewan,1.0,,O,Interstate Bakeries,490443.0
lql7512,4.0,,M,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,,318.0,307402.0,Canada,40.0,DODDIDDHXS,9.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,NE,5.0,1-268-630-3843,O,eBay,3348923.0
Wsk7513,4.0,,D,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,m,613.0,,United States of America,8.0,Oqnzttrldq,4.0,ucxdpiwilpxxhv,AR,1.0,1-915-548-9541,R,Boise,331799.0
Ffs7514,4.0,v,U,,,786.0,432425.0,,10.0,Lwbawk,4.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,IL,1.0,1-536-880-0961,R,MDU Resources Group,1167013.0
Kvv7515,0.0,F,U,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,,,122041.0,United States of America,24.0,Ppsrzjdtg,10.0,,VA,3.0,1-494-335-6022,O,Freescale Semiconductor,3960216.0
mpz7516,1.0,G,M,,f,623.0,302205.0,United States of America,18.0,,5.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,ID,4.0,1-814-158-3550,O,Superior Energy Services,242246.0
