AgeID,NuCrCa,OwOReF,PosCo,MiInit,NuC,Ph,In,NumChi,MariSt,Ag,CreRat,Em,NeWo
PEL0,,O,T6b 1i1,,,1-712-522-6088,368776.0,3.0,W,20.0,760.0,Brink's,1058868.0
LED1,6.0,U,77281,,5.0,1-626-426-4298,177967.0,1.0,U,3.0,555.0,,1988185.0
lat2,6.0,O,91355,,2.0,1-524-787-8784,321772.0,1.0,S,,566.0,,3673128.0
RUD3,3.0,O,36615,,2.0,1-741-997-1688,25449.0,1.0,W,77.0,,Air Products & Chemicals,2005895.0
JAY4,4.0,O,t6a 1i3,M,0.0,1-002-194-1991,166567.0,3.0,M,21.0,815.0,Oshkosh,624736.0
tod5,10.0,R,A2b 1v3,Z,1.0,1-441-371-7651,43631.0,4.0,M,77.0,333.0,,3064615.0
Kan6,1.0,O,49513,R,4.0,1-957-940-5980,466230.0,0.0,,23.0,528.0,VeraSun Energy,3489129.0
Din7,7.0,U,M5d 1v6,Z,2.0,1-768-633-4096,420243.0,2.0,M,9.0,680.0,IDT,3430744.0
Thi8,10.0,O,V6c 1q1,,3.0,1-107-689-2155,141862.0,,U,63.0,761.0,Adams Resources & Energy,1743614.0
May9,,O,99716,,0.0,1-173-594-6096,402011.0,2.0,M,32.0,416.0,MGIC Investment,216299.0
mah10,9.0,O,A2b 1w1,U,2.0,1-561-520-0611,79928.0,2.0,M,96.0,493.0,Iasis Healthcare,1528641.0
Siz11,0.0,R,M5F 1W1,,1.0,1-730-406-9727,109496.0,0.0,M,46.0,564.0,AMR,3752907.0
cra12,0.0,U,95118,,1.0,,267901.0,4.0,U,6.0,817.0,Embarq,582378.0
dac13,8.0,R,H2f 1v7,,3.0,1-207-867-4589,487273.0,5.0,U,39.0,653.0,Advanced Micro Devices,3458824.0
HIV14,2.0,O,19217,W,3.0,1-478-629-9641,34013.0,4.0,M,73.0,587.0,Cenveo,469408.0
Pes15,6.0,O,21228,,0.0,1-026-208-8595,473462.0,2.0,S,26.0,472.0,Kelly Services,1504480.0
CHI16,4.0,O,85097,,5.0,1-432-681-4853,499493.0,4.0,M,54.0,817.0,Viacom,2763009.0
Din17,0.0,R,V6j 1q8,,5.0,,266928.0,4.0,M,87.0,441.0,Macy's,2787199.0
De 18,6.0,O,43207,M,2.0,1-357-207-6320,72444.0,3.0,M,85.0,848.0,Gardner Denver,2789368.0
Mck19,8.0,R,V6t 1q8,,3.0,1-462-774-1277,77290.0,3.0,U,86.0,843.0,Family Dollar Stores,2784776.0
