City,Income,Phone,Age,Country,Gender,State,NumberCars,AddressLine1,NetWorth,LastName,CreditRating,MaritalStatus,NumberCreditCards,NumberChildren,OwnOrRentFlag,MiddleInitial,AddressLine2,Employer,FirstName,PostalCode,AgencyID
Fairbanks,368776.0,1-712-522-6088,20.0,United States of America,f,MA,,21847 olympia street,1058868.0,PELLAND,760.0,W,,3.0,O,,,Brink's,Netti,T6b 1i1,PEL0
Quebec,177967.0,1-626-426-4298,3.0,United States of America,F,PA,5.0,245 congress court,1988185.0,LEDUC,555.0,U,6.0,1.0,U,,APT. 624,,TRUDY,77281,LED1
Henderson,321772.0,1-524-787-8784,,United States of America,,Alberta,2.0,6517 frailing west,3673128.0,latif,566.0,S,6.0,1.0,O,,,,ireland,91355,lat2
Salem,25449.0,1-741-997-1688,77.0,Canada,,AR,2.0,11449 blalock park,2005895.0,RUDDICK,,W,3.0,1.0,O,,,Air Products & Chemicals,Misti,36615,RUD3
Toledo,166567.0,1-002-194-1991,21.0,Canada,f,OR,0.0,18354 dodd court,624736.0,JAYAMANNE,815.0,M,4.0,3.0,O,M,Apt. 619,Oshkosh,sarena,t6a 1i3,JAY4
Corpus Christi,43631.0,1-441-371-7651,77.0,United States of America,M,VA,1.0,14117 roxboro street,3064615.0,todo,333.0,M,10.0,4.0,R,Z,,,Paulette,A2b 1v3,tod5
Salt Lake City,466230.0,1-957-940-5980,23.0,Canada,m,OH,4.0,24697 FLORENCE WEST,3489129.0,Kanno,528.0,,1.0,0.0,O,R,,VeraSun Energy,AMALITA,49513,Kan6
Brownsville,420243.0,1-768-633-4096,9.0,United States of America,,Prince Edward Island,2.0,6488 applewood drive,3430744.0,Dinkel,680.0,M,7.0,2.0,U,Z,,IDT,Ernesto,M5d 1v6,Din7
Escondido,141862.0,1-107-689-2155,63.0,United States of America,,NV,3.0,17404 gale court,1743614.0,Thibodeaux,761.0,U,10.0,,O,,,Adams Resources & Energy,Toby,V6c 1q1,Thi8
Los Angeles,402011.0,1-173-594-6096,32.0,United States of America,,Ontario,0.0,15913 alexis street,216299.0,Mayo,416.0,M,,2.0,O,,,MGIC Investment,evangelia,99716,May9
West Covina,79928.0,1-561-520-0611,96.0,Canada,,TX,2.0,18313 5th lane,1528641.0,mahendra,493.0,M,9.0,2.0,O,U,,Iasis Healthcare,umakanth,A2b 1w1,mah10
San Buenaventura,109496.0,1-730-406-9727,46.0,United States of America,,NE,1.0,13653 collier avenue,3752907.0,Sizto,564.0,M,0.0,0.0,R,,,AMR,terrie,M5F 1W1,Siz11
Lexington,267901.0,,6.0,United States of America,,AR,1.0,15306 pike park,582378.0,crawley,817.0,U,0.0,4.0,U,,,Embarq,Mary-pat,95118,cra12
Hay River,487273.0,1-207-867-4589,39.0,United States of America,m,MI,3.0,1540 crestmere north,3458824.0,dacal,653.0,U,8.0,5.0,R,,,Advanced Micro Devices,Catherin,H2f 1v7,dac13
Toronto,34013.0,1-478-629-9641,73.0,United States of America,,MA,3.0,10790 bonita crescent,469408.0,HIVELY,587.0,M,2.0,4.0,O,W,,Cenveo,annissa,19217,HIV14
Denver,473462.0,1-026-208-8595,26.0,United States of America,,TN,0.0,24679 AIRPORT CRESCENT,1504480.0,Peschke,472.0,S,6.0,2.0,O,,Apt. 290,Kelly Services,Amour,21228,Pes15
St. Paul,499493.0,1-432-681-4853,54.0,Canada,,TN,5.0,7627 douglas road,2763009.0,CHILDERHOSE,817.0,M,4.0,4.0,O,,,Viacom,jenica,85097,CHI16
Bellevue,266928.0,,87.0,United States of America,,OK,5.0,6106 ashland east,2787199.0,Dinnin,441.0,M,0.0,4.0,R,,,Macy's,KATTIE,V6j 1q8,Din17
Detroit,72444.0,1-357-207-6320,85.0,United States of America,,Ontario,2.0,1111 norden street,2789368.0,De witte,848.0,M,6.0,3.0,O,M,,Gardner Denver,Roselle,43207,De 18
Omaha,77290.0,1-462-774-1277,86.0,United States of America,m,KY,3.0,2798 1st east,2784776.0,Mckeegan,843.0,U,8.0,3.0,R,,,Family Dollar Stores,arlyne,V6t 1q8,Mck19
Costa Mesa,395066.0,1-702-382-2898,59.0,United States of America,M,PA,2.0,11358 elle lee street,288747.0,WINTERS,,U,,0.0,R,P,,,Rong-chin,94467,WIN20
Berkeley,119283.0,1-909-554-7120,94.0,United States of America,,MD,5.0,21074 MALLORY LOWER,876575.0,BITTMAN,300.0,U,0.0,3.0,O,,,Sun Microsystems,Darlleen,94321,BIT21
St. Louis,330991.0,1-752-296-7940,,United States of America,f,TX,1.0,16124 weyland park,2041224.0,luzarraga,795.0,U,8.0,1.0,O,V,,Costco Wholesale,Radoslav,C2a 4w7,luz22
