ct,cntr,nmbrcrs,gndr,mddlntl,phn,frstnm,stt,mplr,ddrssln2,nmbrchldrn,g,lstnm,ntwrth,ddrssln1,mrtlstts,pstlcd,gncd,nmbrcrdtcrds,crdtrtng,wnrrntflg,ncm
Baltimore,United States of America,3.0,,n,1-637-119-9996,wbwsqgtaa,MO,FM Global,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,,7.0,Iokwiqojocjanndatkdzgymym,321776.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,U,Guudshirvcu,Iok7501,,580.0,U,94490.0
Kitchener,Canada,4.0,M,,1-560-405-0048,QGJWCPAPZMWHYHZTNOYSSOQBI,TX,MGIC Investment,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,4.0,48.0,tiabxgseasiibxakctfzhfwotp,2292324.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,S,wyggjewbe,tia7502,2.0,683.0,R,7037.0
Saint John,,1.0,,u,1-261-306-5079,BHGXDDPUMBESLQMNEPREPTZNNKM,CT,Ross Stores,Cdrxeolwrrxmwmhgexvcstvzz,5.0,14.0,AOIWIWTIHIXOJ,969707.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,M,YMZRQICUTHT,AOI7503,2.0,411.0,O,419269.0
Berkeley,United States of America,4.0,m,,1-642-299-6655,Xgnvppcxgfnmawlupgfa,UT,,WKSBVOFGJHQGAEKUYRZHHPH,5.0,29.0,PJQSPMBUHYQKBOZ,3899461.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,W,Bcjuycmcen,PJQ7504,9.0,818.0,U,76681.0
Missoula,United States of America,2.0,,,,Tfiozpstcftslqtwkgngiiwo,RI,Alliance One International,skxijfqpzshmts,4.0,69.0,SDVLJWXENNGWCQMIW,3749223.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,U,Nujxguyehf,SDV7505,7.0,370.0,R,209116.0
Salinas,,0.0,F,F,1-388-257-4273,fbcahlrhhjoslfzqvvwwvhk,DE,Sally Beauty Holdings,ZETOHHRKIBHCQCKZODIXJJSXCFY,0.0,47.0,Hgakmykzeunwkiaxayulpwyxrcuev,3658531.0,Ajpkrmtlcbdzr,U,Neigswk,Hga7506,6.0,833.0,O,212203.0
San Jose,Canada,5.0,M,D,,Dcgkohfcwyoaxckalqnkrzwq,NM,Wisconsin Energy,LJXAXKUJXQBGWBHJJAAM,5.0,0.0,Beotomyndkiqryllkvpavllytov,1738460.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,M,WNCEOQPLW,Beo7507,2.0,536.0,U,42018.0
Cleveland,United States of America,0.0,,,1-632-118-1891,Vmnmcsinflxxmmifydckncc,WV,Carpenter Technology,Jmlgjkjbqhrudrkqrm,0.0,46.0,Qumxrssnd,3307296.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,S,Cskdwtkf,Qum7508,0.0,775.0,R,90446.0
Huntington,United States of America,1.0,,v,1-853-806-4986,Vrkbkkxkddtximspigmlbwzt,NH,Liberty Mutual Insurance Group,Qqcilgblxyikgr,1.0,6.0,Hudlpfwjagzbnznyhamjkhbf,1816419.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,M,tcxswloetdt,Hud7509,3.0,765.0,R,16274.0
Paterson,Canada,5.0,m,,1-220-687-2027,RMWCTFTLSVTMCBI,WY,Black & Decker,Ahtohqjfzfarn,2.0,22.0,jbabemsfwdyeihxq,2599250.0,Ycltsquohmuugxihqyluhkoy,M,Fkpemasoukih,jba7510,6.0,555.0,O,22215.0
Greensboro,United States of America,5.0,m,,,Zaijioc,Saskatchewan,Interstate Bakeries,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,1.0,72.0,dgcnbxfhc,490443.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,M,NCEVKLQEEWTA,dgc7511,3.0,,O,210038.0
Concord,Canada,4.0,,,1-268-630-3843,Mdwdjpdfmbqjaygkfqzqx,NE,eBay,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,5.0,40.0,lqlslgqsvyfxqnzuwbfg,3348923.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,M,DODDIDDHXS,lql7512,9.0,318.0,O,307402.0
Colorado Springs,United States of America,4.0,m,,1-915-548-9541,Ccbccgvldfvoqtzestvkwunn,AR,Boise,ucxdpiwilpxxhv,1.0,8.0,Wskjvrujdwku,331799.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,D,Oqnzttrldq,Wsk7513,4.0,613.0,R,
Mobile,,4.0,,v,1-536-880-0961,nyakrhdyxravdnhgbtol,IL,MDU Resources Group,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,1.0,10.0,Ffshsiomkzjonhxjhunfsao,1167013.0,,U,Lwbawk,Ffs7514,4.0,786.0,R,432425.0
Thousand Oaks,United States of America,0.0,,F,1-494-335-6022,NDNBTVCLKSC,VA,Freescale Semiconductor,,3.0,24.0,Kvvverfkpazpzzkrqniixrhnw,3960216.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,U,Ppsrzjdtg,Kvv7515,10.0,,O,122041.0
Rochester,United States of America,1.0,f,G,1-814-158-3550,Zmstbluqkipzaojfsomtbdddguq,ID,Superior Energy Services,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,4.0,18.0,mpzqnwnrmaozfsstcqtrc,242246.0,,M,,mpz7516,5.0,623.0,O,302205.0
