prospect_Age,prospect_Employer,prospect_AgencyID,prospect_OwnOrRentFlag,prospect_Gender,prospect_City,prospect_Income,prospect_CreditRating,prospect_PostalCode,prospect_MiddleInitial,prospect_NumberCars,prospect_State,prospect_Country,prospect_AddressLine2,prospect_Phone,prospect_NetWorth,prospect_LastName,prospect_MaritalStatus,prospect_NumberCreditCards,prospect_FirstName,prospect_AddressLine1,prospect_NumberChildren
7.0,FM Global,Iok7501,U,,Baltimore,94490.0,580.0,Guudshirvcu,n,3.0,MO,United States of America,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,1-637-119-9996,321776.0,Iokwiqojocjanndatkdzgymym,U,,wbwsqgtaa,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,
48.0,MGIC Investment,tia7502,R,M,Kitchener,7037.0,683.0,wyggjewbe,,4.0,TX,Canada,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,1-560-405-0048,2292324.0,tiabxgseasiibxakctfzhfwotp,S,2.0,QGJWCPAPZMWHYHZTNOYSSOQBI,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,4.0
14.0,Ross Stores,AOI7503,O,,Saint John,419269.0,411.0,YMZRQICUTHT,u,1.0,CT,,Cdrxeolwrrxmwmhgexvcstvzz,1-261-306-5079,969707.0,AOIWIWTIHIXOJ,M,2.0,BHGXDDPUMBESLQMNEPREPTZNNKM,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,5.0
29.0,,PJQ7504,U,m,Berkeley,76681.0,818.0,Bcjuycmcen,,4.0,UT,United States of America,WKSBVOFGJHQGAEKUYRZHHPH,1-642-299-6655,3899461.0,PJQSPMBUHYQKBOZ,W,9.0,Xgnvppcxgfnmawlupgfa,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,5.0
69.0,Alliance One International,SDV7505,R,,Missoula,209116.0,370.0,Nujxguyehf,,2.0,RI,United States of America,skxijfqpzshmts,,3749223.0,SDVLJWXENNGWCQMIW,U,7.0,Tfiozpstcftslqtwkgngiiwo,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,4.0
47.0,Sally Beauty Holdings,Hga7506,O,F,Salinas,212203.0,833.0,Neigswk,F,0.0,DE,,ZETOHHRKIBHCQCKZODIXJJSXCFY,1-388-257-4273,3658531.0,Hgakmykzeunwkiaxayulpwyxrcuev,U,6.0,fbcahlrhhjoslfzqvvwwvhk,Ajpkrmtlcbdzr,0.0
0.0,Wisconsin Energy,Beo7507,U,M,San Jose,42018.0,536.0,WNCEOQPLW,D,5.0,NM,Canada,LJXAXKUJXQBGWBHJJAAM,,1738460.0,Beotomyndkiqryllkvpavllytov,M,2.0,Dcgkohfcwyoaxckalqnkrzwq,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,5.0
46.0,Carpenter Technology,Qum7508,R,,Cleveland,90446.0,775.0,Cskdwtkf,,0.0,WV,United States of America,Jmlgjkjbqhrudrkqrm,1-632-118-1891,3307296.0,Qumxrssnd,S,0.0,Vmnmcsinflxxmmifydckncc,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0
6.0,Liberty Mutual Insurance Group,Hud7509,R,,Huntington,16274.0,765.0,tcxswloetdt,v,1.0,NH,United States of America,Qqcilgblxyikgr,1-853-806-4986,1816419.0,Hudlpfwjagzbnznyhamjkhbf,M,3.0,Vrkbkkxkddtximspigmlbwzt,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,1.0
22.0,Black & Decker,jba7510,O,m,Paterson,22215.0,555.0,Fkpemasoukih,,5.0,WY,Canada,Ahtohqjfzfarn,1-220-687-2027,2599250.0,jbabemsfwdyeihxq,M,6.0,RMWCTFTLSVTMCBI,Ycltsquohmuugxihqyluhkoy,2.0
72.0,Interstate Bakeries,dgc7511,O,m,Greensboro,210038.0,,NCEVKLQEEWTA,,5.0,Saskatchewan,United States of America,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,490443.0,dgcnbxfhc,M,3.0,Zaijioc,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,1.0
40.0,eBay,lql7512,O,,Concord,307402.0,318.0,DODDIDDHXS,,4.0,NE,Canada,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,1-268-630-3843,3348923.0,lqlslgqsvyfxqnzuwbfg,M,9.0,Mdwdjpdfmbqjaygkfqzqx,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,5.0
8.0,Boise,Wsk7513,R,m,Colorado Springs,,613.0,Oqnzttrldq,,4.0,AR,United States of America,ucxdpiwilpxxhv,1-915-548-9541,331799.0,Wskjvrujdwku,D,4.0,Ccbccgvldfvoqtzestvkwunn,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,1.0
10.0,MDU Resources Group,Ffs7514,R,,Mobile,432425.0,786.0,Lwbawk,v,4.0,IL,,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,1-536-880-0961,1167013.0,Ffshsiomkzjonhxjhunfsao,U,4.0,nyakrhdyxravdnhgbtol,,1.0
