NumberChildren,Phone,AddressLine2,MiddleInitial,NumberCreditCards,LastName,Income,FirstName,City,PostalCode,Country,Age,CreditRating,Gender,AgencyID,NumberCars,AddressLine1,OwnOrRentFlag,Employer,NetWorth,MaritalStatus,State
3.0,1-712-522-6088,,,,PELLAND,368776.0,Netti,Fairbanks,T6b 1i1,United States of America,20.0,760.0,f,PEL0,,21847 olympia street,O,Brink's,1058868.0,W,MA
1.0,1-626-426-4298,APT. 624,,6.0,LEDUC,177967.0,TRUDY,Quebec,77281,United States of America,3.0,555.0,F,LED1,5.0,245 congress court,U,,1988185.0,U,PA
1.0,1-524-787-8784,,,6.0,latif,321772.0,ireland,Henderson,91355,United States of America,,566.0,,lat2,2.0,6517 frailing west,O,,3673128.0,S,Alberta
1.0,1-741-997-1688,,,3.0,RUDDICK,25449.0,Misti,Salem,36615,Canada,77.0,,,RUD3,2.0,11449 blalock park,O,Air Products & Chemicals,2005895.0,W,AR
3.0,1-002-194-1991,Apt. 619,M,4.0,JAYAMANNE,166567.0,sarena,Toledo,t6a 1i3,Canada,21.0,815.0,f,JAY4,0.0,18354 dodd court,O,Oshkosh,624736.0,M,OR
4.0,1-441-371-7651,,Z,10.0,todo,43631.0,Paulette,Corpus Christi,A2b 1v3,United States of America,77.0,333.0,M,tod5,1.0,14117 roxboro street,R,,3064615.0,M,VA
0.0,1-957-940-5980,,R,1.0,Kanno,466230.0,AMALITA,Salt Lake City,49513,Canada,23.0,528.0,m,Kan6,4.0,24697 FLORENCE WEST,O,VeraSun Energy,3489129.0,,OH
2.0,1-768-633-4096,,Z,7.0,Dinkel,420243.0,Ernesto,Brownsville,M5d 1v6,United States of America,9.0,680.0,,Din7,2.0,6488 applewood drive,U,IDT,3430744.0,M,Prince Edward Island
,1-107-689-2155,,,10.0,Thibodeaux,141862.0,Toby,Escondido,V6c 1q1,United States of America,63.0,761.0,,Thi8,3.0,17404 gale court,O,Adams Resources & Energy,1743614.0,U,NV
2.0,1-173-594-6096,,,,Mayo,402011.0,evangelia,Los Angeles,99716,United States of America,32.0,416.0,,May9,0.0,15913 alexis street,O,MGIC Investment,216299.0,M,Ontario
2.0,1-561-520-0611,,U,9.0,mahendra,79928.0,umakanth,West Covina,A2b 1w1,Canada,96.0,493.0,,mah10,2.0,18313 5th lane,O,Iasis Healthcare,1528641.0,M,TX
0.0,1-730-406-9727,,,0.0,Sizto,109496.0,terrie,San Buenaventura,M5F 1W1,United States of America,46.0,564.0,,Siz11,1.0,13653 collier avenue,R,AMR,3752907.0,M,NE
4.0,,,,0.0,crawley,267901.0,Mary-pat,Lexington,95118,United States of America,6.0,817.0,,cra12,1.0,15306 pike park,U,Embarq,582378.0,U,AR
5.0,1-207-867-4589,,,8.0,dacal,487273.0,Catherin,Hay River,H2f 1v7,United States of America,39.0,653.0,m,dac13,3.0,1540 crestmere north,R,Advanced Micro Devices,3458824.0,U,MI
