prospect_OwnOrRentFlag,prospect_MaritalStatus,prospect_FirstName,prospect_NumberCars,prospect_Employer,prospect_AddressLine1,prospect_Income,prospect_AgencyID,prospect_NumberChildren,prospect_AddressLine2,prospect_Phone,prospect_NumberCreditCards,prospect_NetWorth,prospect_City,prospect_Gender,prospect_LastName,prospect_Age,prospect_Country,prospect_PostalCode,prospect_MiddleInitial,prospect_CreditRating,prospect_State
U,U,wbwsqgtaa,3.0,FM Global,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,94490.0,Iok7501,,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,1-637-119-9996,,321776.0,Baltimore,,Iokwiqojocjanndatkdzgymym,7.0,United States of America,Guudshirvcu,n,580.0,MO
R,S,QGJWCPAPZMWHYHZTNOYSSOQBI,4.0,MGIC Investment,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,7037.0,tia7502,4.0,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,1-560-405-0048,2.0,2292324.0,Kitchener,M,tiabxgseasiibxakctfzhfwotp,48.0,Canada,wyggjewbe,,683.0,TX
O,M,BHGXDDPUMBESLQMNEPREPTZNNKM,1.0,Ross Stores,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,419269.0,AOI7503,5.0,Cdrxeolwrrxmwmhgexvcstvzz,1-261-306-5079,2.0,969707.0,Saint John,,AOIWIWTIHIXOJ,14.0,,YMZRQICUTHT,u,411.0,CT
U,W,Xgnvppcxgfnmawlupgfa,4.0,,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,76681.0,PJQ7504,5.0,WKSBVOFGJHQGAEKUYRZHHPH,1-642-299-6655,9.0,3899461.0,Berkeley,m,PJQSPMBUHYQKBOZ,29.0,United States of America,Bcjuycmcen,,818.0,UT
R,U,Tfiozpstcftslqtwkgngiiwo,2.0,Alliance One International,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,209116.0,SDV7505,4.0,skxijfqpzshmts,,7.0,3749223.0,Missoula,,SDVLJWXENNGWCQMIW,69.0,United States of America,Nujxguyehf,,370.0,RI
O,U,fbcahlrhhjoslfzqvvwwvhk,0.0,Sally Beauty Holdings,Ajpkrmtlcbdzr,212203.0,Hga7506,0.0,ZETOHHRKIBHCQCKZODIXJJSXCFY,1-388-257-4273,6.0,3658531.0,Salinas,F,Hgakmykzeunwkiaxayulpwyxrcuev,47.0,,Neigswk,F,833.0,DE
U,M,Dcgkohfcwyoaxckalqnkrzwq,5.0,Wisconsin Energy,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,42018.0,Beo7507,5.0,LJXAXKUJXQBGWBHJJAAM,,2.0,1738460.0,San Jose,M,Beotomyndkiqryllkvpavllytov,0.0,Canada,WNCEOQPLW,D,536.0,NM
R,S,Vmnmcsinflxxmmifydckncc,0.0,Carpenter Technology,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,90446.0,Qum7508,0.0,Jmlgjkjbqhrudrkqrm,1-632-118-1891,0.0,3307296.0,Cleveland,,Qumxrssnd,46.0,United States of America,Cskdwtkf,,775.0,WV
R,M,Vrkbkkxkddtximspigmlbwzt,1.0,Liberty Mutual Insurance Group,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,16274.0,Hud7509,1.0,Qqcilgblxyikgr,1-853-806-4986,3.0,1816419.0,Huntington,,Hudlpfwjagzbnznyhamjkhbf,6.0,United States of America,tcxswloetdt,v,765.0,NH
O,M,RMWCTFTLSVTMCBI,5.0,Black & Decker,Ycltsquohmuugxihqyluhkoy,22215.0,jba7510,2.0,Ahtohqjfzfarn,1-220-687-2027,6.0,2599250.0,Paterson,m,jbabemsfwdyeihxq,22.0,Canada,Fkpemasoukih,,555.0,WY
O,M,Zaijioc,5.0,Interstate Bakeries,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,210038.0,dgc7511,1.0,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,3.0,490443.0,Greensboro,m,dgcnbxfhc,72.0,United States of America,NCEVKLQEEWTA,,,Saskatchewan
O,M,Mdwdjpdfmbqjaygkfqzqx,4.0,eBay,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,307402.0,lql7512,5.0,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,1-268-630-3843,9.0,3348923.0,Concord,,lqlslgqsvyfxqnzuwbfg,40.0,Canada,DODDIDDHXS,,318.0,NE
R,D,Ccbccgvldfvoqtzestvkwunn,4.0,Boise,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,,Wsk7513,1.0,ucxdpiwilpxxhv,1-915-548-9541,4.0,331799.0,Colorado Springs,m,Wskjvrujdwku,8.0,United States of America,Oqnzttrldq,,613.0,AR
R,U,nyakrhdyxravdnhgbtol,4.0,MDU Resources Group,,432425.0,Ffs7514,1.0,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,1-536-880-0961,4.0,1167013.0,Mobile,,Ffshsiomkzjonhxjhunfsao,10.0,,Lwbawk,v,786.0,IL
O,U,NDNBTVCLKSC,0.0,Freescale Semiconductor,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,122041.0,Kvv7515,3.0,,1-494-335-6022,10.0,3960216.0,Thousand Oaks,,Kvvverfkpazpzzkrqniixrhnw,24.0,United States of America,Ppsrzjdtg,F,,VA
O,M,Zmstbluqkipzaojfsomtbdddguq,1.0,Superior Energy Services,,302205.0,mpz7516,4.0,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,1-814-158-3550,5.0,242246.0,Rochester,f,mpzqnwnrmaozfsstcqtrc,18.0,United States of America,,G,623.0,ID
O,S,dpqgvuaoijmkxsesvililpxcrwqe,1.0,Monsanto,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,367555.0,Jhc7517,1.0,Havgczldcpfmwfzj,1-420-580-0795,1.0,1217660.0,Garden Grove,F,Jhcbaxyzijphmmvpampdgvgisnab,79.0,United States of America,,s,845.0,TX
U,M,IHUGYGSRDWILVOFBAKUR,4.0,Newfield Exploration,rpikmvtgwsrsoehxgmxwypaueiaheabrf,106025.0,dbq7518,5.0,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,1-924-305-1666,7.0,1229655.0,Tampa,M,dbqcukoddoiwg,36.0,United States of America,Rxdsunq,l,645.0,New Brunswick
