NumberCars,OwnOrRentFlag,City,Gender,Phone,MiddleInitial,Employer,AddressLine1,AgencyID,Age,NumberChildren,MaritalStatus,Income,NumberCreditCards,NetWorth,PostalCode,AddressLine2,FirstName,Country,State,LastName,CreditRating
,O,Fairbanks,f,1-712-522-6088,,Brink's,21847 olympia street,PEL0,20.0,3.0,W,368776.0,,1058868.0,T6b 1i1,,Netti,United States of America,MA,PELLAND,760.0
5.0,U,Quebec,F,1-626-426-4298,,,245 congress court,LED1,3.0,1.0,U,177967.0,6.0,1988185.0,77281,APT. 624,TRUDY,United States of America,PA,LEDUC,555.0
2.0,O,Henderson,,1-524-787-8784,,,6517 frailing west,lat2,,1.0,S,321772.0,6.0,3673128.0,91355,,ireland,United States of America,Alberta,latif,566.0
2.0,O,Salem,,1-741-997-1688,,Air Products & Chemicals,11449 blalock park,RUD3,77.0,1.0,W,25449.0,3.0,2005895.0,36615,,Misti,Canada,AR,RUDDICK,
0.0,O,Toledo,f,1-002-194-1991,M,Oshkosh,18354 dodd court,JAY4,21.0,3.0,M,166567.0,4.0,624736.0,t6a 1i3,Apt. 619,sarena,Canada,OR,JAYAMANNE,815.0
1.0,R,Corpus Christi,M,1-441-371-7651,Z,,14117 roxboro street,tod5,77.0,4.0,M,43631.0,10.0,3064615.0,A2b 1v3,,Paulette,United States of America,VA,todo,333.0
4.0,O,Salt Lake City,m,1-957-940-5980,R,VeraSun Energy,24697 FLORENCE WEST,Kan6,23.0,0.0,,466230.0,1.0,3489129.0,49513,,AMALITA,Canada,OH,Kanno,528.0
2.0,U,Brownsville,,1-768-633-4096,Z,IDT,6488 applewood drive,Din7,9.0,2.0,M,420243.0,7.0,3430744.0,M5d 1v6,,Ernesto,United States of America,Prince Edward Island,Dinkel,680.0
3.0,O,Escondido,,1-107-689-2155,,Adams Resources & Energy,17404 gale court,Thi8,63.0,,U,141862.0,10.0,1743614.0,V6c 1q1,,Toby,United States of America,NV,Thibodeaux,761.0
0.0,O,Los Angeles,,1-173-594-6096,,MGIC Investment,15913 alexis street,May9,32.0,2.0,M,402011.0,,216299.0,99716,,evangelia,United States of America,Ontario,Mayo,416.0
2.0,O,West Covina,,1-561-520-0611,U,Iasis Healthcare,18313 5th lane,mah10,96.0,2.0,M,79928.0,9.0,1528641.0,A2b 1w1,,umakanth,Canada,TX,mahendra,493.0
1.0,R,San Buenaventura,,1-730-406-9727,,AMR,13653 collier avenue,Siz11,46.0,0.0,M,109496.0,0.0,3752907.0,M5F 1W1,,terrie,United States of America,NE,Sizto,564.0
1.0,U,Lexington,,,,Embarq,15306 pike park,cra12,6.0,4.0,U,267901.0,0.0,582378.0,95118,,Mary-pat,United States of America,AR,crawley,817.0
3.0,R,Hay River,m,1-207-867-4589,,Advanced Micro Devices,1540 crestmere north,dac13,39.0,5.0,U,487273.0,8.0,3458824.0,H2f 1v7,,Catherin,United States of America,MI,dacal,653.0
3.0,O,Toronto,,1-478-629-9641,W,Cenveo,10790 bonita crescent,HIV14,73.0,4.0,M,34013.0,2.0,469408.0,19217,,annissa,United States of America,MA,HIVELY,587.0
0.0,O,Denver,,1-026-208-8595,,Kelly Services,24679 AIRPORT CRESCENT,Pes15,26.0,2.0,S,473462.0,6.0,1504480.0,21228,Apt. 290,Amour,United States of America,TN,Peschke,472.0
5.0,O,St. Paul,,1-432-681-4853,,Viacom,7627 douglas road,CHI16,54.0,4.0,M,499493.0,4.0,2763009.0,85097,,jenica,Canada,TN,CHILDERHOSE,817.0
5.0,R,Bellevue,,,,Macy's,6106 ashland east,Din17,87.0,4.0,M,266928.0,0.0,2787199.0,V6j 1q8,,KATTIE,United States of America,OK,Dinnin,441.0
2.0,O,Detroit,,1-357-207-6320,M,Gardner Denver,1111 norden street,De 18,85.0,3.0,M,72444.0,6.0,2789368.0,43207,,Roselle,United States of America,Ontario,De witte,848.0
3.0,R,Omaha,m,1-462-774-1277,,Family Dollar Stores,2798 1st east,Mck19,86.0,3.0,U,77290.0,8.0,2784776.0,V6t 1q8,,arlyne,United States of America,KY,Mckeegan,843.0
2.0,R,Costa Mesa,M,1-702-382-2898,P,,11358 elle lee street,WIN20,59.0,0.0,U,395066.0,,288747.0,94467,,Rong-chin,United States of America,PA,WINTERS,
5.0,O,Berkeley,,1-909-554-7120,,Sun Microsystems,21074 MALLORY LOWER,BIT21,94.0,3.0,U,119283.0,0.0,876575.0,94321,,Darlleen,United States of America,MD,BITTMAN,300.0
1.0,O,St. Louis,f,1-752-296-7940,V,Costco Wholesale,16124 weyland park,luz22,,1.0,U,330991.0,8.0,2041224.0,C2a 4w7,,Radoslav,United States of America,TX,luzarraga,795.0
4.0,U,Colorado Springs,,1-995-554-5056,S,Illinois Tool Works,23822 marvin crescent,don23,5.0,0.0,,,5.0,2231509.0,35808,,Aryn,United States of America,IN,donovan,367.0
1.0,O,Fontana,,1-090-303-3807,T,Southern Union,2203 valita boulevard,Gia24,23.0,5.0,M,252031.0,1.0,3206409.0,M5f 1v6,,Allisan,United States of America,MD,Giallo,507.0
3.0,O,St. Catharines,M,1-492-968-0932,,Moog,11538 COLLINWOOD AVENUE,SPR25,61.0,1.0,M,101800.0,9.0,3850037.0,99539,,Ammamaria,United States of America,KY,SPRUELL,362.0
