AgencyID,Income,FirstName,AddressLine1,NumberCreditCards,Age,Phone,NumberCars,NumberChildren,MaritalStatus,CreditRating,OwnOrRentFlag,Employer,NetWorth
Iok7501,94490.0,wbwsqgtaa,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,,7.0,1-637-119-9996,3.0,,U,580.0,U,FM Global,321776.0
tia7502,7037.0,QGJWCPAPZMWHYHZTNOYSSOQBI,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,2.0,48.0,1-560-405-0048,4.0,4.0,S,683.0,R,MGIC Investment,2292324.0
AOI7503,419269.0,BHGXDDPUMBESLQMNEPREPTZNNKM,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,2.0,14.0,1-261-306-5079,1.0,5.0,M,411.0,O,Ross Stores,969707.0
PJQ7504,76681.0,Xgnvppcxgfnmawlupgfa,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,9.0,29.0,1-642-299-6655,4.0,5.0,W,818.0,U,,3899461.0
SDV7505,209116.0,Tfiozpstcftslqtwkgngiiwo,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,7.0,69.0,,2.0,4.0,U,370.0,R,Alliance One International,3749223.0
Hga7506,212203.0,fbcahlrhhjoslfzqvvwwvhk,Ajpkrmtlcbdzr,6.0,47.0,1-388-257-4273,0.0,0.0,U,833.0,O,Sally Beauty Holdings,3658531.0
Beo7507,42018.0,Dcgkohfcwyoaxckalqnkrzwq,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,2.0,0.0,,5.0,5.0,M,536.0,U,Wisconsin Energy,1738460.0
Qum7508,90446.0,Vmnmcsinflxxmmifydckncc,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,0.0,46.0,1-632-118-1891,0.0,0.0,S,775.0,R,Carpenter Technology,3307296.0
Hud7509,16274.0,Vrkbkkxkddtximspigmlbwzt,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,3.0,6.0,1-853-806-4986,1.0,1.0,M,765.0,R,Liberty Mutual Insurance Group,1816419.0
jba7510,22215.0,RMWCTFTLSVTMCBI,Ycltsquohmuugxihqyluhkoy,6.0,22.0,1-220-687-2027,5.0,2.0,M,555.0,O,Black & Decker,2599250.0
dgc7511,210038.0,Zaijioc,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,3.0,72.0,,5.0,1.0,M,,O,Interstate Bakeries,490443.0
lql7512,307402.0,Mdwdjpdfmbqjaygkfqzqx,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,9.0,40.0,1-268-630-3843,4.0,5.0,M,318.0,O,eBay,3348923.0
Wsk7513,,Ccbccgvldfvoqtzestvkwunn,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,4.0,8.0,1-915-548-9541,4.0,1.0,D,613.0,R,Boise,331799.0
Ffs7514,432425.0,nyakrhdyxravdnhgbtol,,4.0,10.0,1-536-880-0961,4.0,1.0,U,786.0,R,MDU Resources Group,1167013.0
Kvv7515,122041.0,NDNBTVCLKSC,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,10.0,24.0,1-494-335-6022,0.0,3.0,U,,O,Freescale Semiconductor,3960216.0
mpz7516,302205.0,Zmstbluqkipzaojfsomtbdddguq,,5.0,18.0,1-814-158-3550,1.0,4.0,M,623.0,O,Superior Energy Services,242246.0
Jhc7517,367555.0,dpqgvuaoijmkxsesvililpxcrwqe,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,1.0,79.0,1-420-580-0795,1.0,1.0,S,845.0,O,Monsanto,1217660.0
dbq7518,106025.0,IHUGYGSRDWILVOFBAKUR,rpikmvtgwsrsoehxgmxwypaueiaheabrf,7.0,36.0,1-924-305-1666,4.0,5.0,M,645.0,U,Newfield Exploration,1229655.0
Xch7519,106690.0,aefotdcronamhkzsfpvifmobgchmsp,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,1.0,21.0,1-450-082-2122,2.0,2.0,W,495.0,O,Loews,1157831.0
oir7520,29373.0,jdeyqkerjerjpht,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,8.0,4.0,1-573-009-1404,2.0,2.0,M,371.0,O,Apache,
Fqb7521,168189.0,Lwihnxoihqqrvjydsijd,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,1.0,72.0,1-603-897-9894,2.0,3.0,S,462.0,R,Robert Half International,
qex7522,264756.0,nmnervucuk,Dmyivtczopuqajpnjqvvgbhxynvduub,7.0,1.0,1-947-161-6502,,,S,375.0,U,Viacom,3467922.0
