prospect_AgencyID,prospect_Age,prospect_Income,prospect_AddressLine1,prospect_CreditRating,prospect_NumberChildren,prospect_Country,prospect_AddressLine2,prospect_NetWorth,prospect_OwnOrRentFlag,prospect_Employer,prospect_City,prospect_State,prospect_Phone,prospect_NumberCars,prospect_MaritalStatus,prospect_NumberCreditCards
Iok7501,7.0,94490.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,580.0,,United States of America,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,321776.0,U,FM Global,Baltimore,MO,1-637-119-9996,3.0,U,
tia7502,48.0,7037.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,683.0,4.0,Canada,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,2292324.0,R,MGIC Investment,Kitchener,TX,1-560-405-0048,4.0,S,2.0
AOI7503,14.0,419269.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,411.0,5.0,,Cdrxeolwrrxmwmhgexvcstvzz,969707.0,O,Ross Stores,Saint John,CT,1-261-306-5079,1.0,M,2.0
PJQ7504,29.0,76681.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,818.0,5.0,United States of America,WKSBVOFGJHQGAEKUYRZHHPH,3899461.0,U,,Berkeley,UT,1-642-299-6655,4.0,W,9.0
SDV7505,69.0,209116.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,370.0,4.0,United States of America,skxijfqpzshmts,3749223.0,R,Alliance One International,Missoula,RI,,2.0,U,7.0
Hga7506,47.0,212203.0,Ajpkrmtlcbdzr,833.0,0.0,,ZETOHHRKIBHCQCKZODIXJJSXCFY,3658531.0,O,Sally Beauty Holdings,Salinas,DE,1-388-257-4273,0.0,U,6.0
Beo7507,0.0,42018.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,536.0,5.0,Canada,LJXAXKUJXQBGWBHJJAAM,1738460.0,U,Wisconsin Energy,San Jose,NM,,5.0,M,2.0
Qum7508,46.0,90446.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,775.0,0.0,United States of America,Jmlgjkjbqhrudrkqrm,3307296.0,R,Carpenter Technology,Cleveland,WV,1-632-118-1891,0.0,S,0.0
Hud7509,6.0,16274.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,765.0,1.0,United States of America,Qqcilgblxyikgr,1816419.0,R,Liberty Mutual Insurance Group,Huntington,NH,1-853-806-4986,1.0,M,3.0
jba7510,22.0,22215.0,Ycltsquohmuugxihqyluhkoy,555.0,2.0,Canada,Ahtohqjfzfarn,2599250.0,O,Black & Decker,Paterson,WY,1-220-687-2027,5.0,M,6.0
dgc7511,72.0,210038.0,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,,1.0,United States of America,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,490443.0,O,Interstate Bakeries,Greensboro,Saskatchewan,,5.0,M,3.0
lql7512,40.0,307402.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,318.0,5.0,Canada,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,3348923.0,O,eBay,Concord,NE,1-268-630-3843,4.0,M,9.0
Wsk7513,8.0,,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,613.0,1.0,United States of America,ucxdpiwilpxxhv,331799.0,R,Boise,Colorado Springs,AR,1-915-548-9541,4.0,D,4.0
Ffs7514,10.0,432425.0,,786.0,1.0,,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,1167013.0,R,MDU Resources Group,Mobile,IL,1-536-880-0961,4.0,U,4.0
Kvv7515,24.0,122041.0,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,,3.0,United States of America,,3960216.0,O,Freescale Semiconductor,Thousand Oaks,VA,1-494-335-6022,0.0,U,10.0
mpz7516,18.0,302205.0,,623.0,4.0,United States of America,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,242246.0,O,Superior Energy Services,Rochester,ID,1-814-158-3550,1.0,M,5.0
Jhc7517,79.0,367555.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,845.0,1.0,United States of America,Havgczldcpfmwfzj,1217660.0,O,Monsanto,Garden Grove,TX,1-420-580-0795,1.0,S,1.0
dbq7518,36.0,106025.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,645.0,5.0,United States of America,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,1229655.0,U,Newfield Exploration,Tampa,New Brunswick,1-924-305-1666,4.0,M,7.0
Xch7519,21.0,106690.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,495.0,2.0,Canada,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,1157831.0,O,Loews,Fullerton,Alberta,1-450-082-2122,2.0,W,1.0
oir7520,4.0,29373.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,371.0,2.0,Canada,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,,O,Apache,Washington,PA,1-573-009-1404,2.0,M,8.0
Fqb7521,72.0,168189.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,462.0,3.0,United States of America,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,,R,Robert Half International,Norfolk,Nova Scotia,1-603-897-9894,2.0,S,1.0
qex7522,1.0,264756.0,Dmyivtczopuqajpnjqvvgbhxynvduub,375.0,,United States of America,Rirmrpvlknyho,3467922.0,U,Viacom,Sydney,RI,1-947-161-6502,,S,7.0
Hpi7523,98.0,44480.0,Sathursvnxpzkodbtmwvlolitgiqccvjmcwvjhxmxiksdbpxekwlruhizivshqaghvknzyc,516.0,2.0,Canada,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,46859.0,U,Robert Half International,Winnipeg,OR,1-586-826-9847,1.0,S,10.0
Fjd7524,35.0,87207.0,Esuycdxsjfbrqbtluspxsehk,703.0,5.0,Canada,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,2937668.0,R,CSX,Wilmington,CA,1-217-243-2668,1.0,,
Cgt7525,99.0,238434.0,AAKKBLHRKJVXTVACUQHEGNOWXKGEVRT,734.0,2.0,United States of America,Rpzwirgfyiw,2388613.0,O,Country Financial Services,El Monte,MO,1-857-211-5728,4.0,W,7.0
Lwx7526,49.0,,oxrxowbcfhbizsvbjjsrkewykeughmnwmzjixsuivfwva,469.0,2.0,United States of America,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,3116283.0,U,Procter & Gamble,Sterling Heights,Prince Edward Island,1-089-966-6281,0.0,M,4.0
epy7527,72.0,391354.0,vnyndcximwxhecv,595.0,0.0,United States of America,Zzhfkhlfkpqslmxcwhjcrxnajovgogoaffeoteagwewkptqwgqwbvrvndaakkcifzoetlbka,2671950.0,O,Ingles Markets,Pembroke Pines,Quebec,,3.0,S,2.0
Aff7528,41.0,419165.0,sjzqdcwqhttuwckkxvgdspajysnblgfjgiyydyrof,410.0,0.0,United States of America,Acdrcqabtcdgmgl,3899593.0,O,Forest Laboratories,Philadelphia,KS,1-231-342-6874,3.0,U,1.0
mfc7529,54.0,396509.0,,475.0,2.0,Canada,Bahndgtlqyafcqwtjhoernwtgocuhsgrhovhsegbmwdlyzbfrnlv,2537332.0,O,Dentsply International,Glendale,NV,,3.0,W,10.0
Slf7530,11.0,145161.0,GVSBHGBDDVJFNNOZNNPJWCOI,,2.0,United States of America,ikkajewgvilzcwqbyanbownxssvmccjbqchnemhttpdspyp,733236.0,R,RadioShack,El Monte,TN,1-602-637-1838,0.0,,2.0
Cxu7531,0.0,263206.0,Atzlinujhplocihkjvezvlpfgrrybnamouvdikjna,519.0,5.0,United States of America,Wblpiuzbjoibqlodlednoksegkjczmjreokvvatqkkngpylavaglfctdw,,O,Century Aluminum,Warwick,WY,1-003-982-8627,2.0,W,3.0
