AgID,Inc,Co,OwOReF,Sta,MidIn,NumCa,LNa,Ph,MarSta,CrRat,C,NuChil,A,Empl,NuCreCar,NWor
Iok7501,94490.0,United States of America,U,MO,n,3.0,Iokwiqojocjanndatkdzgymym,1-637-119-9996,U,580.0,Baltimore,,7.0,FM Global,,321776.0
tia7502,7037.0,Canada,R,TX,,4.0,tiabxgseasiibxakctfzhfwotp,1-560-405-0048,S,683.0,Kitchener,4.0,48.0,MGIC Investment,2.0,2292324.0
AOI7503,419269.0,,O,CT,u,1.0,AOIWIWTIHIXOJ,1-261-306-5079,M,411.0,Saint John,5.0,14.0,Ross Stores,2.0,969707.0
PJQ7504,76681.0,United States of America,U,UT,,4.0,PJQSPMBUHYQKBOZ,1-642-299-6655,W,818.0,Berkeley,5.0,29.0,,9.0,3899461.0
SDV7505,209116.0,United States of America,R,RI,,2.0,SDVLJWXENNGWCQMIW,,U,370.0,Missoula,4.0,69.0,Alliance One International,7.0,3749223.0
Hga7506,212203.0,,O,DE,F,0.0,Hgakmykzeunwkiaxayulpwyxrcuev,1-388-257-4273,U,833.0,Salinas,0.0,47.0,Sally Beauty Holdings,6.0,3658531.0
Beo7507,42018.0,Canada,U,NM,D,5.0,Beotomyndkiqryllkvpavllytov,,M,536.0,San Jose,5.0,0.0,Wisconsin Energy,2.0,1738460.0
Qum7508,90446.0,United States of America,R,WV,,0.0,Qumxrssnd,1-632-118-1891,S,775.0,Cleveland,0.0,46.0,Carpenter Technology,0.0,3307296.0
Hud7509,16274.0,United States of America,R,NH,v,1.0,Hudlpfwjagzbnznyhamjkhbf,1-853-806-4986,M,765.0,Huntington,1.0,6.0,Liberty Mutual Insurance Group,3.0,1816419.0
jba7510,22215.0,Canada,O,WY,,5.0,jbabemsfwdyeihxq,1-220-687-2027,M,555.0,Paterson,2.0,22.0,Black & Decker,6.0,2599250.0
dgc7511,210038.0,United States of America,O,Saskatchewan,,5.0,dgcnbxfhc,,M,,Greensboro,1.0,72.0,Interstate Bakeries,3.0,490443.0
lql7512,307402.0,Canada,O,NE,,4.0,lqlslgqsvyfxqnzuwbfg,1-268-630-3843,M,318.0,Concord,5.0,40.0,eBay,9.0,3348923.0
Wsk7513,,United States of America,R,AR,,4.0,Wskjvrujdwku,1-915-548-9541,D,613.0,Colorado Springs,1.0,8.0,Boise,4.0,331799.0
Ffs7514,432425.0,,R,IL,v,4.0,Ffshsiomkzjonhxjhunfsao,1-536-880-0961,U,786.0,Mobile,1.0,10.0,MDU Resources Group,4.0,1167013.0
Kvv7515,122041.0,United States of America,O,VA,F,0.0,Kvvverfkpazpzzkrqniixrhnw,1-494-335-6022,U,,Thousand Oaks,3.0,24.0,Freescale Semiconductor,10.0,3960216.0
mpz7516,302205.0,United States of America,O,ID,G,1.0,mpzqnwnrmaozfsstcqtrc,1-814-158-3550,M,623.0,Rochester,4.0,18.0,Superior Energy Services,5.0,242246.0
Jhc7517,367555.0,United States of America,O,TX,s,1.0,Jhcbaxyzijphmmvpampdgvgisnab,1-420-580-0795,S,845.0,Garden Grove,1.0,79.0,Monsanto,1.0,1217660.0
dbq7518,106025.0,United States of America,U,New Brunswick,l,4.0,dbqcukoddoiwg,1-924-305-1666,M,645.0,Tampa,5.0,36.0,Newfield Exploration,7.0,1229655.0
Xch7519,106690.0,Canada,O,Alberta,,2.0,Xchoxlbkffuvox,1-450-082-2122,W,495.0,Fullerton,2.0,21.0,Loews,1.0,1157831.0
oir7520,29373.0,Canada,O,PA,Z,2.0,oirfujtvl,1-573-009-1404,M,371.0,Washington,2.0,4.0,Apache,8.0,
Fqb7521,168189.0,United States of America,R,Nova Scotia,O,2.0,Fqbovz,1-603-897-9894,S,462.0,Norfolk,3.0,72.0,Robert Half International,1.0,
qex7522,264756.0,United States of America,U,RI,,,qextfjyytqwbmdrlykbfnhvqrmota,1-947-161-6502,S,375.0,Sydney,,1.0,Viacom,7.0,3467922.0
Hpi7523,44480.0,Canada,U,OR,,1.0,Hpiedhvkedqqdxsoedt,1-586-826-9847,S,516.0,Winnipeg,2.0,98.0,Robert Half International,10.0,46859.0
Fjd7524,87207.0,Canada,R,CA,,1.0,Fjdafgbcrml,1-217-243-2668,,703.0,Wilmington,5.0,35.0,CSX,,2937668.0
Cgt7525,238434.0,United States of America,O,MO,,4.0,Cgtcmbl,1-857-211-5728,W,734.0,El Monte,2.0,99.0,Country Financial Services,7.0,2388613.0
Lwx7526,,United States of America,U,Prince Edward Island,,0.0,Lwxudfgcqawccntqaucdaeym,1-089-966-6281,M,469.0,Sterling Heights,2.0,49.0,Procter & Gamble,4.0,3116283.0
epy7527,391354.0,United States of America,O,Quebec,,3.0,epyxtfsrijhddstgaxkbgmlayjtk,,S,595.0,Pembroke Pines,0.0,72.0,Ingles Markets,2.0,2671950.0
Aff7528,419165.0,United States of America,O,KS,M,3.0,Affcha,1-231-342-6874,U,410.0,Philadelphia,0.0,41.0,Forest Laboratories,1.0,3899593.0
mfc7529,396509.0,Canada,O,NV,S,3.0,mfcestd,,W,475.0,Glendale,2.0,54.0,Dentsply International,10.0,2537332.0
Slf7530,145161.0,United States of America,R,TN,S,0.0,Slfbmvc,1-602-637-1838,,,El Monte,2.0,11.0,RadioShack,2.0,733236.0
Cxu7531,263206.0,United States of America,O,WY,,2.0,Cxuousxqyrfgjvpvuopyfguqva,1-003-982-8627,W,519.0,Warwick,5.0,0.0,Century Aluminum,3.0,
