AgeID,CreRa,AdLi1,MarSt,NeWor,LNa,MidIni,A,FiNa,PosCo,OwORFl,Ph,Inc,NuC,NumChil,Empl,NuCreCar
Iok7501,580.0,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,U,321776.0,Iokwiqojocjanndatkdzgymym,n,7.0,wbwsqgtaa,Guudshirvcu,U,1-637-119-9996,94490.0,3.0,,FM Global,
tia7502,683.0,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,S,2292324.0,tiabxgseasiibxakctfzhfwotp,,48.0,QGJWCPAPZMWHYHZTNOYSSOQBI,wyggjewbe,R,1-560-405-0048,7037.0,4.0,4.0,MGIC Investment,2.0
AOI7503,411.0,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,M,969707.0,AOIWIWTIHIXOJ,u,14.0,BHGXDDPUMBESLQMNEPREPTZNNKM,YMZRQICUTHT,O,1-261-306-5079,419269.0,1.0,5.0,Ross Stores,2.0
PJQ7504,818.0,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,W,3899461.0,PJQSPMBUHYQKBOZ,,29.0,Xgnvppcxgfnmawlupgfa,Bcjuycmcen,U,1-642-299-6655,76681.0,4.0,5.0,,9.0
SDV7505,370.0,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,U,3749223.0,SDVLJWXENNGWCQMIW,,69.0,Tfiozpstcftslqtwkgngiiwo,Nujxguyehf,R,,209116.0,2.0,4.0,Alliance One International,7.0
Hga7506,833.0,Ajpkrmtlcbdzr,U,3658531.0,Hgakmykzeunwkiaxayulpwyxrcuev,F,47.0,fbcahlrhhjoslfzqvvwwvhk,Neigswk,O,1-388-257-4273,212203.0,0.0,0.0,Sally Beauty Holdings,6.0
Beo7507,536.0,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,M,1738460.0,Beotomyndkiqryllkvpavllytov,D,0.0,Dcgkohfcwyoaxckalqnkrzwq,WNCEOQPLW,U,,42018.0,5.0,5.0,Wisconsin Energy,2.0
Qum7508,775.0,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,S,3307296.0,Qumxrssnd,,46.0,Vmnmcsinflxxmmifydckncc,Cskdwtkf,R,1-632-118-1891,90446.0,0.0,0.0,Carpenter Technology,0.0
Hud7509,765.0,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,M,1816419.0,Hudlpfwjagzbnznyhamjkhbf,v,6.0,Vrkbkkxkddtximspigmlbwzt,tcxswloetdt,R,1-853-806-4986,16274.0,1.0,1.0,Liberty Mutual Insurance Group,3.0
jba7510,555.0,Ycltsquohmuugxihqyluhkoy,M,2599250.0,jbabemsfwdyeihxq,,22.0,RMWCTFTLSVTMCBI,Fkpemasoukih,O,1-220-687-2027,22215.0,5.0,2.0,Black & Decker,6.0
dgc7511,,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,M,490443.0,dgcnbxfhc,,72.0,Zaijioc,NCEVKLQEEWTA,O,,210038.0,5.0,1.0,Interstate Bakeries,3.0
lql7512,318.0,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,M,3348923.0,lqlslgqsvyfxqnzuwbfg,,40.0,Mdwdjpdfmbqjaygkfqzqx,DODDIDDHXS,O,1-268-630-3843,307402.0,4.0,5.0,eBay,9.0
Wsk7513,613.0,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,D,331799.0,Wskjvrujdwku,,8.0,Ccbccgvldfvoqtzestvkwunn,Oqnzttrldq,R,1-915-548-9541,,4.0,1.0,Boise,4.0
Ffs7514,786.0,,U,1167013.0,Ffshsiomkzjonhxjhunfsao,v,10.0,nyakrhdyxravdnhgbtol,Lwbawk,R,1-536-880-0961,432425.0,4.0,1.0,MDU Resources Group,4.0
Kvv7515,,nhqyivscmwnpvrfjhyqgyauxmhgktbbppsfjnvrwvqdcqzcanltobsfnatgeamwyle,U,3960216.0,Kvvverfkpazpzzkrqniixrhnw,F,24.0,NDNBTVCLKSC,Ppsrzjdtg,O,1-494-335-6022,122041.0,0.0,3.0,Freescale Semiconductor,10.0
mpz7516,623.0,,M,242246.0,mpzqnwnrmaozfsstcqtrc,G,18.0,Zmstbluqkipzaojfsomtbdddguq,,O,1-814-158-3550,302205.0,1.0,4.0,Superior Energy Services,5.0
Jhc7517,845.0,RGFLBNRPCCBOCIMBJAIQCHREEDWSLNITTIXMQMMIREOAEMJSWFGPLLAOOTDNSZZGAEQJWFUFQH,S,1217660.0,Jhcbaxyzijphmmvpampdgvgisnab,s,79.0,dpqgvuaoijmkxsesvililpxcrwqe,,O,1-420-580-0795,367555.0,1.0,1.0,Monsanto,1.0
dbq7518,645.0,rpikmvtgwsrsoehxgmxwypaueiaheabrf,M,1229655.0,dbqcukoddoiwg,l,36.0,IHUGYGSRDWILVOFBAKUR,Rxdsunq,U,1-924-305-1666,106025.0,4.0,5.0,Newfield Exploration,7.0
Xch7519,495.0,Dcxnszigsmeoffgkyuyzouumjszfxlmjdizusqzswzmocjqebjedovmpqu,W,1157831.0,Xchoxlbkffuvox,,21.0,aefotdcronamhkzsfpvifmobgchmsp,JXHVEEOU,O,1-450-082-2122,106690.0,2.0,2.0,Loews,1.0
oir7520,371.0,Baiiogufdtxuzztaankuouulonjuthcvhxsmccuomeklooce,M,,oirfujtvl,Z,4.0,jdeyqkerjerjpht,XHJQCDPOO,O,1-573-009-1404,29373.0,2.0,2.0,Apache,8.0
Fqb7521,462.0,Pozalthzwjbiezusbjdhneowvdocaqwhiqgtjoeciuatrukalsmcrjd,S,,Fqbovz,O,72.0,Lwihnxoihqqrvjydsijd,rapkjpmvp,R,1-603-897-9894,168189.0,2.0,3.0,Robert Half International,1.0
