gncd,wnrrntflg,phn,mplr,mddlntl,pstlcd,gndr,nmbrcrs,stt,ncm,mrtlstts,cntr,nmbrchldrn,g,crdtrtng,nmbrcrdtcrds,ntwrth
Iok7501,U,1-637-119-9996,FM Global,n,Guudshirvcu,,3.0,MO,94490.0,U,United States of America,,7.0,580.0,,321776.0
tia7502,R,1-560-405-0048,MGIC Investment,,wyggjewbe,M,4.0,TX,7037.0,S,Canada,4.0,48.0,683.0,2.0,2292324.0
AOI7503,O,1-261-306-5079,Ross Stores,u,YMZRQICUTHT,,1.0,CT,419269.0,M,,5.0,14.0,411.0,2.0,969707.0
PJQ7504,U,1-642-299-6655,,,Bcjuycmcen,m,4.0,UT,76681.0,W,United States of America,5.0,29.0,818.0,9.0,3899461.0
SDV7505,R,,Alliance One International,,Nujxguyehf,,2.0,RI,209116.0,U,United States of America,4.0,69.0,370.0,7.0,3749223.0
Hga7506,O,1-388-257-4273,Sally Beauty Holdings,F,Neigswk,F,0.0,DE,212203.0,U,,0.0,47.0,833.0,6.0,3658531.0
Beo7507,U,,Wisconsin Energy,D,WNCEOQPLW,M,5.0,NM,42018.0,M,Canada,5.0,0.0,536.0,2.0,1738460.0
Qum7508,R,1-632-118-1891,Carpenter Technology,,Cskdwtkf,,0.0,WV,90446.0,S,United States of America,0.0,46.0,775.0,0.0,3307296.0
Hud7509,R,1-853-806-4986,Liberty Mutual Insurance Group,v,tcxswloetdt,,1.0,NH,16274.0,M,United States of America,1.0,6.0,765.0,3.0,1816419.0
jba7510,O,1-220-687-2027,Black & Decker,,Fkpemasoukih,m,5.0,WY,22215.0,M,Canada,2.0,22.0,555.0,6.0,2599250.0
dgc7511,O,,Interstate Bakeries,,NCEVKLQEEWTA,m,5.0,Saskatchewan,210038.0,M,United States of America,1.0,72.0,,3.0,490443.0
lql7512,O,1-268-630-3843,eBay,,DODDIDDHXS,,4.0,NE,307402.0,M,Canada,5.0,40.0,318.0,9.0,3348923.0
Wsk7513,R,1-915-548-9541,Boise,,Oqnzttrldq,m,4.0,AR,,D,United States of America,1.0,8.0,613.0,4.0,331799.0
Ffs7514,R,1-536-880-0961,MDU Resources Group,v,Lwbawk,,4.0,IL,432425.0,U,,1.0,10.0,786.0,4.0,1167013.0
Kvv7515,O,1-494-335-6022,Freescale Semiconductor,F,Ppsrzjdtg,,0.0,VA,122041.0,U,United States of America,3.0,24.0,,10.0,3960216.0
mpz7516,O,1-814-158-3550,Superior Energy Services,G,,f,1.0,ID,302205.0,M,United States of America,4.0,18.0,623.0,5.0,242246.0
Jhc7517,O,1-420-580-0795,Monsanto,s,,F,1.0,TX,367555.0,S,United States of America,1.0,79.0,845.0,1.0,1217660.0
dbq7518,U,1-924-305-1666,Newfield Exploration,l,Rxdsunq,M,4.0,New Brunswick,106025.0,M,United States of America,5.0,36.0,645.0,7.0,1229655.0
Xch7519,O,1-450-082-2122,Loews,,JXHVEEOU,m,2.0,Alberta,106690.0,W,Canada,2.0,21.0,495.0,1.0,1157831.0
oir7520,O,1-573-009-1404,Apache,Z,XHJQCDPOO,m,2.0,PA,29373.0,M,Canada,2.0,4.0,371.0,8.0,
Fqb7521,R,1-603-897-9894,Robert Half International,O,rapkjpmvp,M,2.0,Nova Scotia,168189.0,S,United States of America,3.0,72.0,462.0,1.0,
qex7522,U,1-947-161-6502,Viacom,,Slskxm,,,RI,264756.0,S,United States of America,,1.0,375.0,7.0,3467922.0
Hpi7523,U,1-586-826-9847,Robert Half International,,FXHXLG,,1.0,OR,44480.0,S,Canada,2.0,98.0,516.0,10.0,46859.0
Fjd7524,R,1-217-243-2668,CSX,,ovlziicdezok,,1.0,CA,87207.0,,Canada,5.0,35.0,703.0,,2937668.0
Cgt7525,O,1-857-211-5728,Country Financial Services,,jsxcpvao,,4.0,MO,238434.0,W,United States of America,2.0,99.0,734.0,7.0,2388613.0
Lwx7526,U,1-089-966-6281,Procter & Gamble,,Ykerbceq,M,0.0,Prince Edward Island,,M,United States of America,2.0,49.0,469.0,4.0,3116283.0
epy7527,O,,Ingles Markets,,VVMSNWEBT,,3.0,Quebec,391354.0,S,United States of America,0.0,72.0,595.0,2.0,2671950.0
Aff7528,O,1-231-342-6874,Forest Laboratories,M,bibueqwbejem,m,3.0,KS,419165.0,U,United States of America,0.0,41.0,410.0,1.0,3899593.0
mfc7529,O,,Dentsply International,S,gehpynlk,,3.0,NV,396509.0,W,Canada,2.0,54.0,475.0,10.0,2537332.0
Slf7530,R,1-602-637-1838,RadioShack,S,Piwlxtg,,0.0,TN,145161.0,,United States of America,2.0,11.0,,2.0,733236.0
Cxu7531,O,1-003-982-8627,Century Aluminum,,Ujlshmosjkid,,2.0,WY,263206.0,W,United States of America,5.0,0.0,519.0,3.0,
GZO7532,U,1-136-358-6852,,F,cwburwnupuj,,3.0,British Columbia,190371.0,D,United States of America,3.0,27.0,841.0,5.0,3397276.0
DRW7533,O,1-123-528-2965,FPL Group,A,CNEZMHTKIAEV,,3.0,LA,203968.0,U,United States of America,1.0,95.0,540.0,6.0,2444257.0
set7534,R,1-136-565-2501,Lockheed Martin,N,kixvppuqtd,f,1.0,HI,428323.0,U,United States of America,3.0,35.0,540.0,10.0,71520.0
Pyo7535,O,1-317-986-1984,Sanmina-SCI,,jrhynxfi,,4.0,NY,159980.0,M,United States of America,1.0,96.0,,6.0,1911091.0
FSH7536,O,1-265-603-1262,Iron Mountain,,dnhtjyu,M,0.0,TX,266852.0,W,Canada,0.0,96.0,424.0,6.0,988775.0
Tdx7537,R,,OfficeMax,,YKOVOTYB,,5.0,AZ,206973.0,M,United States of America,5.0,49.0,623.0,2.0,3919363.0
Sbn7538,O,1-156-668-6882,AMR,O,WNNMWJ,,5.0,ME,258221.0,S,Canada,1.0,,792.0,4.0,428918.0
Piq7539,O,1-164-648-3203,Kohl's,C,Oktkljv,f,4.0,NH,428508.0,S,United States of America,4.0,27.0,718.0,6.0,58134.0
IXD7540,O,1-839-795-1027,Cigna,,,M,4.0,KY,,M,,0.0,98.0,401.0,6.0,3703767.0
wsn7541,R,1-958-412-4252,West,,GXFLSISZUY,,4.0,Prince Edward Island,58953.0,M,United States of America,5.0,,557.0,2.0,433859.0
