prospect_AgeID,prospect_Co,prospect_C,prospect_Ag,prospect_St,prospect_NeWor,prospect_NumCreCar,prospect_Em,prospect_In,prospect_Ph,prospect_OwORF,prospect_AddrL2,prospect_PoC,prospect_NuCa,prospect_NuChi,prospect_MaSta,prospect_CrRat
Iok7501,United States of America,Baltimore,7.0,MO,321776.0,,FM Global,94490.0,1-637-119-9996,U,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,Guudshirvcu,3.0,,U,580.0
tia7502,Canada,Kitchener,48.0,TX,2292324.0,2.0,MGIC Investment,7037.0,1-560-405-0048,R,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,wyggjewbe,4.0,4.0,S,683.0
AOI7503,,Saint John,14.0,CT,969707.0,2.0,Ross Stores,419269.0,1-261-306-5079,O,Cdrxeolwrrxmwmhgexvcstvzz,YMZRQICUTHT,1.0,5.0,M,411.0
PJQ7504,United States of America,Berkeley,29.0,UT,3899461.0,9.0,,76681.0,1-642-299-6655,U,WKSBVOFGJHQGAEKUYRZHHPH,Bcjuycmcen,4.0,5.0,W,818.0
SDV7505,United States of America,Missoula,69.0,RI,3749223.0,7.0,Alliance One International,209116.0,,R,skxijfqpzshmts,Nujxguyehf,2.0,4.0,U,370.0
Hga7506,,Salinas,47.0,DE,3658531.0,6.0,Sally Beauty Holdings,212203.0,1-388-257-4273,O,ZETOHHRKIBHCQCKZODIXJJSXCFY,Neigswk,0.0,0.0,U,833.0
Beo7507,Canada,San Jose,0.0,NM,1738460.0,2.0,Wisconsin Energy,42018.0,,U,LJXAXKUJXQBGWBHJJAAM,WNCEOQPLW,5.0,5.0,M,536.0
Qum7508,United States of America,Cleveland,46.0,WV,3307296.0,0.0,Carpenter Technology,90446.0,1-632-118-1891,R,Jmlgjkjbqhrudrkqrm,Cskdwtkf,0.0,0.0,S,775.0
Hud7509,United States of America,Huntington,6.0,NH,1816419.0,3.0,Liberty Mutual Insurance Group,16274.0,1-853-806-4986,R,Qqcilgblxyikgr,tcxswloetdt,1.0,1.0,M,765.0
jba7510,Canada,Paterson,22.0,WY,2599250.0,6.0,Black & Decker,22215.0,1-220-687-2027,O,Ahtohqjfzfarn,Fkpemasoukih,5.0,2.0,M,555.0
dgc7511,United States of America,Greensboro,72.0,Saskatchewan,490443.0,3.0,Interstate Bakeries,210038.0,,O,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,NCEVKLQEEWTA,5.0,1.0,M,
lql7512,Canada,Concord,40.0,NE,3348923.0,9.0,eBay,307402.0,1-268-630-3843,O,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,DODDIDDHXS,4.0,5.0,M,318.0
Wsk7513,United States of America,Colorado Springs,8.0,AR,331799.0,4.0,Boise,,1-915-548-9541,R,ucxdpiwilpxxhv,Oqnzttrldq,4.0,1.0,D,613.0
Ffs7514,,Mobile,10.0,IL,1167013.0,4.0,MDU Resources Group,432425.0,1-536-880-0961,R,Hpbjtamxhnwkvsqztgimdbwvmosjmmfihd,Lwbawk,4.0,1.0,U,786.0
Kvv7515,United States of America,Thousand Oaks,24.0,VA,3960216.0,10.0,Freescale Semiconductor,122041.0,1-494-335-6022,O,,Ppsrzjdtg,0.0,3.0,U,
mpz7516,United States of America,Rochester,18.0,ID,242246.0,5.0,Superior Energy Services,302205.0,1-814-158-3550,O,YFCOXMEKQFSICJTOBETBUBPKUDIUQVDPJYWFXAVABUQMRQTXCSIQYOGTFIYPUPVSXXADTJO,,1.0,4.0,M,623.0
Jhc7517,United States of America,Garden Grove,79.0,TX,1217660.0,1.0,Monsanto,367555.0,1-420-580-0795,O,Havgczldcpfmwfzj,,1.0,1.0,S,845.0
dbq7518,United States of America,Tampa,36.0,New Brunswick,1229655.0,7.0,Newfield Exploration,106025.0,1-924-305-1666,U,UADMGPXZXZKJOZGCTJVZZHHHCOBQIJZQFD,Rxdsunq,4.0,5.0,M,645.0
Xch7519,Canada,Fullerton,21.0,Alberta,1157831.0,1.0,Loews,106690.0,1-450-082-2122,O,Aihuhaekefhupioebmmkujzxhedjppgqwziufyshbxm,JXHVEEOU,2.0,2.0,W,495.0
oir7520,Canada,Washington,4.0,PA,,8.0,Apache,29373.0,1-573-009-1404,O,GAZSZNVUREMYJPZYADQXQFRKYAYDOISFILUQLJRQPYMVKLCMSNIWDJOCWOFLR,XHJQCDPOO,2.0,2.0,M,371.0
Fqb7521,United States of America,Norfolk,72.0,Nova Scotia,,1.0,Robert Half International,168189.0,1-603-897-9894,R,Mkpdderskkspapuynryulgprdetulhtjeoihkyczssseahmypmsnuqrc,rapkjpmvp,2.0,3.0,S,462.0
qex7522,United States of America,Sydney,1.0,RI,3467922.0,7.0,Viacom,264756.0,1-947-161-6502,U,Rirmrpvlknyho,Slskxm,,,S,375.0
Hpi7523,Canada,Winnipeg,98.0,OR,46859.0,10.0,Robert Half International,44480.0,1-586-826-9847,U,Nqjcckjpytftvzjocrqogpcmnwedqjyyrmogguvhltqigpvmpxhubkndabngfncxuiimipvqphah,FXHXLG,1.0,2.0,S,516.0
Fjd7524,Canada,Wilmington,35.0,CA,2937668.0,,CSX,87207.0,1-217-243-2668,R,Zninbcspznzjebjwgacwmbbfauishphlmeeeqfiepmcyitmqqslybvwpvcegdydu,ovlziicdezok,1.0,5.0,,703.0
Cgt7525,United States of America,El Monte,99.0,MO,2388613.0,7.0,Country Financial Services,238434.0,1-857-211-5728,O,Rpzwirgfyiw,jsxcpvao,4.0,2.0,W,734.0
Lwx7526,United States of America,Sterling Heights,49.0,Prince Edward Island,3116283.0,4.0,Procter & Gamble,,1-089-966-6281,U,Purkujuxneqrcbfjdbsdifxxzlggdjpyacbyftzaaklcorpswlhowlnhtnb,Ykerbceq,0.0,2.0,M,469.0
