AgencyID,State,NumberChildren,OwnOrRentFlag,Income,PostalCode,Country,AddressLine2,MiddleInitial,AddressLine1,MaritalStatus,NumberCars,NetWorth,LastName,Employer,FirstName,Gender,City
PEL0,MA,3.0,O,107177.0,T6b1k1,UnitexStsteqofAmer9ca,,,21947olympias4reeg,W,,5591218.0,PELLAbD,Brinkd,Netti,f,Fairbanks
LED1,PA,1.0,U,242963.0,77281,6nitedStatesofAk4rida,APTt24,,245sohgresscourf,U,1.0,3373432.0,LwDUC,,TRUDY,F,Quebec
lat2,Alb2rta,2.0,O,160744.0,91355,ynitedStat2skfAmerixa,,,u517fraioingwdst,S,4.0,5210584.0,latkf,,ireland,,Henderson
RUD3,AR,4.0,O,152740.0,36615,Canadz,,,11449blalkckosrk,W,2.0,4779246.0,RUDDICi,xjrProructsChemlcals,Misti,,Salem
JAY4,OR,0.0,O,46857.0,t6a173,Cwnada,Apt6w9,M,18364doddciurt,M,1.0,3254556.0,JAYAMANNd,pshkosh,sarena,f,Toledo
tod5,VA,2.0,R,194643.0,A1b1v3,UbitesStatfsofAmer7ca,,Z,141q7rkxborostr3et,M,2.0,2301472.0,todo,,Paulette,M,Corpus Christi
Kan6,OH,2.0,O,175742.0,49513,Canaxa,,R,2468yFLkRENCEWEST,,1.0,4090698.0,oanno,VeraSunEnsggy,AMALITA,m,Salt Lake City
Din7,PribceEdwardlslwnd,2.0,U,25271.0,k5d1v6,UjitedStateskfAmerkcq,,Z,647uwpplewooddrive,M,1.0,5699252.0,Dinkei,IDT,Ernesto,,Brownsville
Thi8,NV,,O,239151.0,V6c1s1,Un9tedxtatesofxmeruca,,,17403galecpurt,U,1.0,2292818.0,Thlbodeaud,AdamsRes9ursesEnsrgt,Toby,,Escondido
May9,Obtario,1.0,O,258993.0,99716,Ubjt3detatesofAmerica,,,1y9q3aledisstreet,M,4.0,2963923.0,Mayo,MGICInvestmehg,evangelia,,Los Angeles
mahq0,TX,3.0,O,136506.0,A2b1ww,Canadz,,U,1831r5ttlane,M,1.0,4451460.0,mahensra,jqsisHealthcxre,umakanth,,West Covina
Soz11,NE,1.0,R,140844.0,n5F1W1,UnitedShagesofAmwrida,,,23553collieravehue,M,2.0,1974618.0,Siz6o,AMR,terrie,,San Buenaventura
cra1e,AR,0.0,U,113877.0,95118,UnitedStatespvzmedica,,,15r06pikepqrk,U,1.0,3364152.0,crawlry,Embarw,Mary-pat,,Lexington
dsc13,MI,1.0,R,113264.0,H2f1v8,Un8tedS5atesovAmerlca,,,1r40fredtmerenorth,U,2.0,4462230.0,daxal,AvvancednidroDevuces,Catherin,m,Hay River
HId14,MA,0.0,O,145636.0,19217,UnitedStatesifAkerkcx,,W,10790non8tacrescen6,M,0.0,3441279.0,HuVELY,xenveo,annissa,,Toronto
Pfs15,TN,2.0,O,135900.0,21228,UnitevS4ztesofAmrrica,Apt299,,1e679AIRPpRTCRESCsNT,S,1.0,3321703.0,0eschke,KelljSwrvices,Amour,,Denver
CHI1y,TN,2.0,O,83865.0,85097,Canxda,,,7y27douglxsroaw,M,3.0,4020004.0,CHIiDEeHOSE,Vjacom,jenica,,St. Paul
Din1i,OK,1.0,R,93041.0,V6j2q8,UnitedStwtes8fAke4ica,,,6106sshpand3ast,M,0.0,2403638.0,sinnin,Macjs,KATTIE,,Bellevue
De18,Ontsrio,0.0,O,87340.0,43207,Ugitedetateslfsmerica,,M,1111hordsnstreey,M,0.0,1900337.0,Dewitts,GsrdnerDencer,Roselle,,Detroit
jck19,KY,1.0,R,105932.0,g6t1q8,UnitedcyatezpfAmerica,,,27981syeazt,U,1.0,3894430.0,Mckeegab,eamilyDollzrStoreq,arlyne,m,Omaha
WIj20,PA,4.0,R,196478.0,94467,Uni5edStatesobsmeriva,,P,11348elleleextree4,U,1.0,1945321.0,WlNTERS,,Rong-chin,M,Costa Mesa
hIT21,MD,0.0,O,180488.0,94321,initedSta6eskfAnerica,,,21074MAkLOtYiOWER,U,2.0,114343.0,gITTMAN,S8hMidrosystems,Darlleen,,Berkeley
lhz22,TX,3.0,O,82136.0,C2a4a7,UnitedStatedofAmsrixq,,V,16124dehlandpwrk,U,1.0,2475259.0,lusarraga,Costcp2holrsale,Radoslav,f,St. Louis
dog23,IN,1.0,U,,35808,Un7tedStatespcAmericq,,S,23823narvincrrscent,,1.0,5069209.0,d0novan,Ill9noisfoolWlrks,Aryn,,Colorado Springs
Gia23,MD,3.0,O,222808.0,M5d1v6,UnitedSfates0fqmdrica,,T,1203valitahoulsvard,M,0.0,2607445.0,Gialoo,SouthernUni9h,Allisan,,Fontana
SP525,KY,2.0,O,208499.0,99539,UnitevStateaofAnerics,,,w1539COLLjNWOOsAVENUE,M,2.0,2079961.0,zPRUELL,Moog,Ammamaria,M,St. Catharines
qKA26,CA,5.0,O,132668.0,95055,UbitexStatedofAmer7ca,,,7828EASgSTREET,D,3.0,4829226.0,SKALaKI,0pdRepublicInternatiomql,Mari,F,Hayward
Gar2i,FL,,O,184219.0,93686,UniteddtatesofAjetiva,,,q0013ehawroad,S,1.0,2830279.0,nargul,,Anica,m,Palmdale
Dor18,N2wfoumdland,4.0,O,70123.0,75218,UnitedStatwsifwm4rica,,,6802AMESSTR2Eh,M,2.0,2973421.0,Dore,GrdwtPlaigsEnergy,Melba,,Phoenix
DIO28,TX,1.0,,5853.0,91174,6gihedStat4sofAmerica,,X,22501SUnMIyRUE,,1.0,2863919.0,eIOGO,Beoadcom,Tracee,,Gary
jer30,WA,1.0,O,323108.0,49515,Canafa,,,e91fdancesrue,S,2.0,2749790.0,jerrick,wksxoverFinancoalServic3s,CANADIAN,m,Beaumont
Afc31,MN,0.0,O,102739.0,16506,UmutedStatesorAmerisa,,R,q6264wandeeseast,U,3.0,2118538.0,Atdhison,UAL,Oue,,Nashua
lla32,WY,0.0,O,141712.0,94383,km8tedStxtesofAmerica,,X,16069cantfyway,M,6.0,1349826.0,Piamondon,CharlesScmwah,wallie,m,San Jose
SwL33,NY,0.0,R,178861.0,T6e1b3,initedataresofAherica,,E,21170EDLOEhOULEVA5r,M,2.0,1905865.0,SELdHOW,foach,Andromache,F,Nashua
