AgID,St,NuCh,OwOReFl,Inc,PoC,Co,AdL2,MiIni,AddrL1,MarSt,NumC,NWor,LN,Em,Ph,A,CreRat,NumCreCar
Iok7501,MO,,U,94490.0,Guudshirvcu,United States of America,GKOIKEZZMQTPQUQZLSAUUMVBDPAXTWNWSXTYJYQ,n,jsurlejkapodmkaccruslfkcqmbcquahsyweopxdxknl,U,3.0,321776.0,Iokwiqojocjanndatkdzgymym,FM Global,1-637-119-9996,7.0,580.0,
tia7502,TX,4.0,R,7037.0,wyggjewbe,Canada,ocmgcvnexhqhgoyrwpkgaopthdvandlzaaleqccjpjkbirtcqvorobgskhtlgndvn,,Ggptcoorkpeeigqzevhwhjdxdfbrmidyxsugikhgmuvvpcptuphjlgmipvhrrsgepibdupa,S,4.0,2292324.0,tiabxgseasiibxakctfzhfwotp,MGIC Investment,1-560-405-0048,48.0,683.0,2.0
AOI7503,CT,5.0,O,419269.0,YMZRQICUTHT,,Cdrxeolwrrxmwmhgexvcstvzz,u,Gpcvjzlwouagawronludakqiuhbrbpbkkltrnlkoezgwcawpayfsnejpkmisnryphbtztbfemoy,M,1.0,969707.0,AOIWIWTIHIXOJ,Ross Stores,1-261-306-5079,14.0,411.0,2.0
PJQ7504,UT,5.0,U,76681.0,Bcjuycmcen,United States of America,WKSBVOFGJHQGAEKUYRZHHPH,,Yxkhkvrobywpdczvwmjgxvnuduavcpyiuceglhaskahgyxqpqjbdroyojouqkzfwvfpsddisy,W,4.0,3899461.0,PJQSPMBUHYQKBOZ,,1-642-299-6655,29.0,818.0,9.0
SDV7505,RI,4.0,R,209116.0,Nujxguyehf,United States of America,skxijfqpzshmts,,Ddsarhvraiskwmrddncqwvzkmjmxtgnpbtgyop,U,2.0,3749223.0,SDVLJWXENNGWCQMIW,Alliance One International,,69.0,370.0,7.0
Hga7506,DE,0.0,O,212203.0,Neigswk,,ZETOHHRKIBHCQCKZODIXJJSXCFY,F,Ajpkrmtlcbdzr,U,0.0,3658531.0,Hgakmykzeunwkiaxayulpwyxrcuev,Sally Beauty Holdings,1-388-257-4273,47.0,833.0,6.0
Beo7507,NM,5.0,U,42018.0,WNCEOQPLW,Canada,LJXAXKUJXQBGWBHJJAAM,D,PKSTPUXQIRGWSXSKWRAJTTNBAOLQKAAJFAPGWIHBWVCHOXLE,M,5.0,1738460.0,Beotomyndkiqryllkvpavllytov,Wisconsin Energy,,0.0,536.0,2.0
Qum7508,WV,0.0,R,90446.0,Cskdwtkf,United States of America,Jmlgjkjbqhrudrkqrm,,gyhrpdbplficrfirmtavitgpfmhnnhvsuoqwxrulxlqrdqkzshqovucentrxlakgkpwbrgtd,S,0.0,3307296.0,Qumxrssnd,Carpenter Technology,1-632-118-1891,46.0,775.0,0.0
Hud7509,NH,1.0,R,16274.0,tcxswloetdt,United States of America,Qqcilgblxyikgr,v,GJTWIDOQOAPDVVULJGOOJBWTTANDJXOCQHWWZAGLGMJQXJOMWFTFVGXIH,M,1.0,1816419.0,Hudlpfwjagzbnznyhamjkhbf,Liberty Mutual Insurance Group,1-853-806-4986,6.0,765.0,3.0
jba7510,WY,2.0,O,22215.0,Fkpemasoukih,Canada,Ahtohqjfzfarn,,Ycltsquohmuugxihqyluhkoy,M,5.0,2599250.0,jbabemsfwdyeihxq,Black & Decker,1-220-687-2027,22.0,555.0,6.0
dgc7511,Saskatchewan,1.0,O,210038.0,NCEVKLQEEWTA,United States of America,Pwoqgijlzahvpurlbritojbvkbutklkqzqcmkdbfmiietjwzrnlvidtlm,,Yrqckbldfgvltnlgolmyhnzpnfmxikgw,M,5.0,490443.0,dgcnbxfhc,Interstate Bakeries,,72.0,,3.0
lql7512,NE,5.0,O,307402.0,DODDIDDHXS,Canada,Iinkxrxklkharzvfpxjfrjcroifismcmfflodyhnvmwkd,,Holvjtknyhtkcrtbmlauvemcsydtddtyzbkqkxbfvkvmxl,M,4.0,3348923.0,lqlslgqsvyfxqnzuwbfg,eBay,1-268-630-3843,40.0,318.0,9.0
Wsk7513,AR,1.0,R,,Oqnzttrldq,United States of America,ucxdpiwilpxxhv,,Dxcosbkqxcjncocxwfvvxjhsziskesknggmeombegfbh,D,4.0,331799.0,Wskjvrujdwku,Boise,1-915-548-9541,8.0,613.0,4.0
