AgencyID,MiddleInitial,CreditRating,State,LastName,Income,NumberCreditCards,City,AddressLine2,MaritalStatus,NumberChildren,Age,Employer,Country,AddressLine1,FirstName,Gender,PostalCode
PEL0,,760.0,MA,PELLAND,368776.0,,Fairbanks,,W,3.0,20.0,Brink's,United States of America,21847 olympia street,Netti,f,T6b 1i1
LED1,,555.0,PA,LEDUC,177967.0,6.0,Quebec,APT. 624,U,1.0,3.0,,United States of America,245 congress court,TRUDY,F,77281
lat2,,566.0,Alberta,latif,321772.0,6.0,Henderson,,S,1.0,,,United States of America,6517 frailing west,ireland,,91355
RUD3,,,AR,RUDDICK,25449.0,3.0,Salem,,W,1.0,77.0,Air Products & Chemicals,Canada,11449 blalock park,Misti,,36615
JAY4,M,815.0,OR,JAYAMANNE,166567.0,4.0,Toledo,Apt. 619,M,3.0,21.0,Oshkosh,Canada,18354 dodd court,sarena,f,t6a 1i3
tod5,Z,333.0,VA,todo,43631.0,10.0,Corpus Christi,,M,4.0,77.0,,United States of America,14117 roxboro street,Paulette,M,A2b 1v3
Kan6,R,528.0,OH,Kanno,466230.0,1.0,Salt Lake City,,,0.0,23.0,VeraSun Energy,Canada,24697 FLORENCE WEST,AMALITA,m,49513
Din7,Z,680.0,Prince Edward Island,Dinkel,420243.0,7.0,Brownsville,,M,2.0,9.0,IDT,United States of America,6488 applewood drive,Ernesto,,M5d 1v6
Thi8,,761.0,NV,Thibodeaux,141862.0,10.0,Escondido,,U,,63.0,Adams Resources & Energy,United States of America,17404 gale court,Toby,,V6c 1q1
May9,,416.0,Ontario,Mayo,402011.0,,Los Angeles,,M,2.0,32.0,MGIC Investment,United States of America,15913 alexis street,evangelia,,99716
mah10,U,493.0,TX,mahendra,79928.0,9.0,West Covina,,M,2.0,96.0,Iasis Healthcare,Canada,18313 5th lane,umakanth,,A2b 1w1
Siz11,,564.0,NE,Sizto,109496.0,0.0,San Buenaventura,,M,0.0,46.0,AMR,United States of America,13653 collier avenue,terrie,,M5F 1W1
cra12,,817.0,AR,crawley,267901.0,0.0,Lexington,,U,4.0,6.0,Embarq,United States of America,15306 pike park,Mary-pat,,95118
dac13,,653.0,MI,dacal,487273.0,8.0,Hay River,,U,5.0,39.0,Advanced Micro Devices,United States of America,1540 crestmere north,Catherin,m,H2f 1v7
HIV14,W,587.0,MA,HIVELY,34013.0,2.0,Toronto,,M,4.0,73.0,Cenveo,United States of America,10790 bonita crescent,annissa,,19217
Pes15,,472.0,TN,Peschke,473462.0,6.0,Denver,Apt. 290,S,2.0,26.0,Kelly Services,United States of America,24679 AIRPORT CRESCENT,Amour,,21228
CHI16,,817.0,TN,CHILDERHOSE,499493.0,4.0,St. Paul,,M,4.0,54.0,Viacom,Canada,7627 douglas road,jenica,,85097
Din17,,441.0,OK,Dinnin,266928.0,0.0,Bellevue,,M,4.0,87.0,Macy's,United States of America,6106 ashland east,KATTIE,,V6j 1q8
De 18,M,848.0,Ontario,De witte,72444.0,6.0,Detroit,,M,3.0,85.0,Gardner Denver,United States of America,1111 norden street,Roselle,,43207
Mck19,,843.0,KY,Mckeegan,77290.0,8.0,Omaha,,U,3.0,86.0,Family Dollar Stores,United States of America,2798 1st east,arlyne,m,V6t 1q8
